Latitude,Longitude,Elevation
-38.5135800,175.5571500,568.0
-38.5136800,175.5577700,574.0
-38.5137900,175.5583800,581.0
-38.5138900,175.5590000,591.0
-38.5145100,175.5594100,589.0
-38.5143000,175.5598900,589.0
-38.5147200,175.5608700,586.0
-38.5146800,175.5616000,589.0
-38.5146400,175.5623200,592.0
-38.5143100,175.5623300,593.0
-38.5142800,175.5630100,593.0
-38.5140200,175.5631900,595.0
-38.5139100,175.5640300,592.0
-38.5138100,175.5648700,593.0
-38.5139800,175.5654900,595.0
-38.5141500,175.5661000,592.0
-38.5146700,175.5665200,591.0
-38.5143900,175.5670700,593.0
-38.5149300,175.5679300,596.0
-38.5147900,175.5685500,595.0
-38.5146500,175.5691700,597.0
-38.5152000,175.5697000,600.0
-38.5156300,175.5695500,600.0
-38.5159000,175.5704800,600.0
-38.5157000,175.5711800,599.0
-38.5162100,175.5713700,601.0
-38.5167100,175.5715600,603.0
-38.5169300,175.5721700,602.0
-38.5173300,175.5725000,603.0
-38.5177300,175.5728300,606.0
-38.5176900,175.5734000,608.0
-38.5181000,175.5740200,610.0
-38.5180200,175.5745900,612.0
-38.5179300,175.5751500,611.0
-38.5183400,175.5757200,613.0
-38.5183200,175.5763200,616.0
-38.5187100,175.5764100,616.0
-38.5186800,175.5769500,616.0
-38.5191800,175.5777700,617.0
-38.5193500,175.5784500,619.0
-38.5195300,175.5791200,618.0
-38.5197000,175.5798000,617.0
-38.5198700,175.5804800,618.0
-38.5202900,175.5810000,621.0
-38.5205400,175.5803500,618.0
-38.5207800,175.5797000,619.0
-38.5212500,175.5799500,620.0
-38.5211700,175.5810600,616.0
-38.5216000,175.5804200,617.0
-38.5217900,175.5809600,614.0
-38.5222100,175.5805700,616.0
-38.5224900,175.5810300,622.0
-38.5227600,175.5815000,621.0
-38.5230400,175.5819600,623.0
-38.5233100,175.5824200,626.0
-38.5235900,175.5828800,627.0
-38.5238700,175.5833500,625.0
-38.5241400,175.5838100,621.0
-38.5244200,175.5842700,621.0
-38.5251000,175.5839300,632.0
-38.5255200,175.5841400,633.0
-38.5259400,175.5843600,637.0
-38.5263700,175.5845700,640.0
-38.5267900,175.5847800,640.0
-38.5272100,175.5850000,639.0
-38.5276300,175.5852100,638.0
-38.5280700,175.5844200,646.0
-38.5284700,175.5849800,644.0
-38.5293300,175.5846400,644.0
-38.5296800,175.5851200,645.0
-38.5300300,175.5856000,649.0
-38.5304900,175.5856200,652.0
-38.5309500,175.5856500,655.0
-38.5314000,175.5856700,657.0
-38.5318600,175.5856900,663.0
-38.5318800,175.5862200,660.0
-38.5313700,175.5866500,653.0
-38.5311900,175.5871700,657.0
-38.5316400,175.5875300,661.0
-38.5320900,175.5878900,665.0
-38.5325400,175.5882500,671.0
-38.5321100,175.5887400,660.0
-38.5316900,175.5892200,663.0
-38.5312600,175.5897100,668.0
-38.5315700,175.5906300,675.0
-38.5321000,175.5909600,679.0
-38.5326300,175.5912900,685.0
-38.5330900,175.5922600,685.0
-38.5337100,175.5923100,690.0
-38.5340500,175.5931800,684.0
-38.5344900,175.5934700,685.0
-38.5349400,175.5937600,684.0
-38.5353800,175.5940500,684.0
-38.5358300,175.5939700,685.0
-38.5362800,175.5938900,688.0
-38.5361300,175.5946700,696.0
-38.5359800,175.5954500,706.0
-38.5365700,175.5954900,716.0
-38.5371700,175.5955400,716.0
-38.5377600,175.5955800,718.0
-38.5382200,175.5961100,719.0
-38.5386700,175.5966400,723.0
-38.5383000,175.5971600,726.0
-38.5379200,175.5976700,729.0
-38.5380700,175.5983300,730.0
-38.5382100,175.5989800,736.0
-38.5383600,175.5996400,740.0
-38.5381300,175.6001800,743.0
-38.5379100,175.6007200,747.0
-38.5382600,175.6012400,745.0
-38.5386200,175.6017500,749.0
-38.5390600,175.6014900,755.0
-38.5394900,175.6012300,755.0
-38.5391500,175.6018900,758.0
-38.5395000,175.6022800,761.0
-38.5398500,175.6026700,766.0
-38.5403700,175.6024500,772.0
-38.5406600,175.6032200,778.0
-38.5409500,175.6039800,785.0
-38.5412400,175.6036100,784.0
-38.5416900,175.6039800,786.0
-38.5416600,175.6034000,786.0
-38.5416300,175.6028200,781.0
-38.5423600,175.6028500,785.0
-38.5429000,175.6033400,788.0
-38.5434300,175.6038300,800.0
-38.5439000,175.6039000,811.0
-38.5443700,175.6039600,807.0
-38.5445300,175.6045000,815.0
-38.5447000,175.6050300,821.0
-38.5448600,175.6055700,828.0
-38.5447800,175.6061500,835.0
-38.5447100,175.6067300,841.0
-38.5446300,175.6073100,848.0
-38.5449100,175.6083000,861.0
-38.5452300,175.6088100,866.0
-38.5455500,175.6093100,873.0
-38.5458700,175.6098200,884.0
-38.5461900,175.6103200,891.0
-38.5467000,175.6105800,901.0
-38.5471300,175.6100000,908.0
-38.5479500,175.6100900,916.0
-38.5483300,175.6106000,926.0
-38.5488800,175.6104000,925.0
-38.5493100,175.6107600,933.0
-38.5497400,175.6111200,940.0
-38.5501600,175.6114700,945.0
-38.5505900,175.6118300,949.0
-38.5509100,175.6114200,943.0
-38.5512200,175.6110100,940.0
-38.5515400,175.6106000,935.0
-38.5521700,175.6104600,938.0
-38.5527900,175.6103100,933.0
-38.5531100,175.6107400,941.0
-38.5534400,175.6111600,949.0
-38.5537600,175.6115900,952.0
-38.5545700,175.6117000,957.0
-38.5548500,175.6114300,953.0
-38.5549400,175.6122700,962.0
-38.5550300,175.6131000,968.0
-38.5556700,175.6130700,963.0
-38.5563100,175.6130300,961.0
-38.5567600,175.6136200,966.0
-38.5572100,175.6142100,967.0
-38.5574100,175.6152700,976.0
-38.5579900,175.6153300,968.0
-38.5581500,175.6161600,974.0
-38.5587400,175.6164900,970.0
-38.5591100,175.6170900,972.0
-38.5594700,175.6176800,972.0
