Latitude,Longitude,Elevation
-39.1077400,175.0696400,96.0
-39.1077700,175.0695700,96.0
-39.1078300,175.0695600,98.0
-39.1078800,175.0695400,100.0
-39.1079300,175.0695200,102.0
-39.1079700,175.0695000,103.0
-39.1080300,175.0694600,104.0
-39.1080800,175.0694200,105.0
-39.1081200,175.0693900,106.0
-39.1081700,175.0693600,107.0
-39.1082200,175.0693200,108.0
-39.1082800,175.0692600,108.0
-39.1083200,175.0692100,108.0
-39.1083600,175.0691700,107.0
-39.1084100,175.0691400,107.0
-39.1084500,175.0691100,107.0
-39.1085000,175.0690600,106.0
-39.1085500,175.0690100,105.0
-39.1085900,175.0689700,105.0
-39.1086200,175.0689000,103.0
-39.1086600,175.0688400,101.0
-39.1087200,175.0687200,98.0
-39.1087500,175.0686600,96.0
-39.1087800,175.0686100,94.0
-39.1088200,175.0685100,94.0
-39.1088200,175.0684900,94.0
-39.1088600,175.0684000,94.0
-39.1089000,175.0682800,93.0
-39.1089200,175.0682300,93.0
-39.1089400,175.0681600,93.0
-39.1089600,175.0681000,93.0
-39.1089700,175.0680300,93.0
-39.1089900,175.0679400,92.0
-39.1090200,175.0677900,92.0
-39.1090600,175.0676500,92.0
-39.1091000,175.0675200,92.0
-39.1091500,175.0674000,93.0
-39.1092000,175.0673000,93.0
-39.1092400,175.0672200,93.0
-39.1092900,175.0671000,94.0
-39.1093100,175.0670600,94.0
-39.1093400,175.0669500,94.0
-39.1093600,175.0668600,94.0
-39.1094400,175.0666800,94.0
-39.1095200,175.0665000,95.0
-39.1095600,175.0664100,95.0
-39.1096100,175.0663000,96.0
-39.1096400,175.0662200,97.0
-39.1096900,175.0661200,98.0
-39.1097300,175.0660600,98.0
-39.1097800,175.0659900,98.0
-39.1098300,175.0659100,98.0
-39.1098700,175.0658500,98.0
-39.1099100,175.0657900,99.0
-39.1099600,175.0657200,101.0
-39.1100200,175.0656300,101.0
-39.1101000,175.0655300,99.0
-39.1101600,175.0654500,100.0
-39.1102100,175.0653900,99.0
-39.1102500,175.0653300,99.0
-39.1102900,175.0652800,97.0
-39.1102900,175.0652100,102.0
-39.1103400,175.0651900,101.0
-39.1104000,175.0651600,100.0
-39.1104500,175.0651300,98.0
-39.1105000,175.0651100,96.0
-39.1105900,175.0650600,93.0
-39.1106400,175.0650300,94.0
-39.1106700,175.0649800,94.0
-39.1107200,175.0649200,94.0
-39.1107600,175.0648700,94.0
-39.1108000,175.0648200,94.0
-39.1108400,175.0647600,93.0
-39.1108700,175.0647100,94.0
-39.1109100,175.0646300,96.0
-39.1109500,175.0645300,97.0
-39.1109900,175.0644200,98.0
-39.1110200,175.0643100,98.0
-39.1110700,175.0642000,97.0
-39.1111200,175.0640700,96.0
-39.1111700,175.0639400,97.0
-39.1112200,175.0638300,99.0
-39.1112600,175.0637000,101.0
-39.1113000,175.0636000,101.0
-39.1113300,175.0634900,101.0
-39.1113700,175.0633900,100.0
-39.1113800,175.0633300,100.0
-39.1114100,175.0632500,101.0
-39.1114500,175.0631500,103.0
-39.1114500,175.0631400,103.0
-39.1115000,175.0630400,104.0
-39.1115100,175.0629600,103.0
-39.1115500,175.0628500,101.0
-39.1115900,175.0626900,99.0
-39.1116300,175.0625300,97.0
-39.1116600,175.0623500,96.0
-39.1116900,175.0621600,96.0
-39.1117100,175.0620800,96.0
-39.1117200,175.0619700,97.0
-39.1117300,175.0618700,98.0
-39.1117600,175.0617300,102.0
-39.1117800,175.0615800,105.0
-39.1118300,175.0614200,110.0
-39.1118800,175.0612500,110.0
-39.1119200,175.0611000,110.0
-39.1119400,175.0610100,106.0
-39.1119600,175.0609300,103.0
-39.1119900,175.0608000,101.0
-39.1120200,175.0607000,103.0
-39.1120400,175.0605900,104.0
-39.1120800,175.0604100,105.0
-39.1121000,175.0602500,104.0
-39.1121300,175.0601100,103.0
-39.1121400,175.0599300,101.0
-39.1121700,175.0598400,101.0
-39.1121700,175.0597600,102.0
-39.1121800,175.0596600,103.0
-39.1121900,175.0595900,104.0
-39.1122200,175.0594700,105.0
-39.1122300,175.0593700,105.0
-39.1122700,175.0592400,103.0
-39.1122900,175.0591300,102.0
-39.1123200,175.0590300,101.0
-39.1123300,175.0589500,100.0
-39.1123300,175.0589100,100.0
-39.1123400,175.0588600,99.0
-39.1123400,175.0587600,98.0
-39.1123400,175.0587000,97.0
-39.1123400,175.0586000,95.0
-39.1123400,175.0584900,95.0
-39.1123400,175.0583900,95.0
-39.1123400,175.0582600,96.0
-39.1123400,175.0581200,98.0
-39.1123300,175.0580600,99.0
-39.1123000,175.0579900,99.0
-39.1123000,175.0579300,99.0
-39.1122700,175.0578300,99.0
-39.1122500,175.0577700,99.0
-39.1122400,175.0577000,99.0
-39.1122400,175.0576200,100.0
-39.1122300,175.0575600,100.0
-39.1122200,175.0574900,100.0
-39.1122200,175.0574500,100.0
-39.1122200,175.0574100,100.0
-39.1122200,175.0573400,100.0
-39.1122100,175.0572300,100.0
-39.1121800,175.0571400,101.0
-39.1121400,175.0569700,103.0
-39.1120900,175.0567700,105.0
-39.1120400,175.0565700,106.0
-39.1119800,175.0564000,108.0
-39.1119600,175.0562700,108.0
-39.1119200,175.0561600,109.0
-39.1119000,175.0560900,109.0
-39.1118700,175.0560100,110.0
-39.1118300,175.0559000,111.0
-39.1118100,175.0558200,112.0
-39.1117700,175.0557200,113.0
-39.1117300,175.0556400,114.0
-39.1117200,175.0555800,115.0
-39.1117000,175.0555000,115.0
-39.1116800,175.0554000,116.0
-39.1116700,175.0553100,116.0
-39.1116600,175.0552100,116.0
-39.1116500,175.0550800,116.0
-39.1116300,175.0549700,115.0
-39.1116200,175.0549100,115.0
-39.1115800,175.0547800,113.0
-39.1115600,175.0547000,113.0
-39.1115200,175.0546200,112.0
-39.1114700,175.0544900,111.0
-39.1114500,175.0544300,111.0
-39.1114200,175.0543600,111.0
-39.1113500,175.0542700,110.0
-39.1112600,175.0540900,110.0
-39.1111900,175.0539400,107.0
-39.1111000,175.0537700,103.0
-39.1110400,175.0536200,102.0
-39.1109900,175.0535100,101.0
-39.1109400,175.0534200,99.0
-39.1109100,175.0533500,98.0
-39.1108800,175.0532700,98.0
-39.1108300,175.0531700,97.0
-39.1107900,175.0530800,98.0
-39.1107500,175.0530000,100.0
-39.1107300,175.0529300,102.0
-39.1107000,175.0528700,103.0
-39.1106300,175.0527600,106.0
-39.1105400,175.0525800,107.0
-39.1104600,175.0524400,104.0
-39.1103800,175.0522800,100.0
-39.1103300,175.0521300,99.0
-39.1102900,175.0520500,99.0
-39.1102700,175.0519700,100.0
-39.1102500,175.0518900,101.0
-39.1102300,175.0518000,102.0
-39.1102200,175.0517200,104.0
-39.1102000,175.0516500,104.0
-39.1101700,175.0515900,103.0
-39.1101400,175.0515400,103.0
-39.1100800,175.0514800,100.0
-39.1100300,175.0514500,98.0
-39.1099700,175.0513700,97.0
-39.1098500,175.0512100,97.0
-39.1097500,175.0510800,97.0
-39.1096300,175.0509300,98.0
-39.1095600,175.0508400,97.0
-39.1094900,175.0507600,97.0
-39.1094200,175.0507100,97.0
-39.1093700,175.0506500,98.0
-39.1092000,175.0504000,98.0
-39.1091000,175.0502800,99.0
-39.1089500,175.0501000,102.0
-39.1087600,175.0498900,103.0
-39.1086800,175.0498100,105.0
-39.1085900,175.0497500,105.0
-39.1084700,175.0495400,109.0
-39.1083900,175.0494300,111.0
-39.1082400,175.0492300,112.0
-39.1080800,175.0490400,112.0
-39.1079800,175.0489600,110.0
-39.1078400,175.0488700,106.0
-39.1077900,175.0487500,106.0
-39.1076800,175.0485600,104.0
-39.1075200,175.0482900,103.0
-39.1074200,175.0481000,108.0
-39.1073000,175.0479200,103.0
-39.1072200,175.0478200,98.0
-39.1072000,175.0477100,98.0
-39.1071600,175.0476600,97.0
-39.1070100,175.0474200,94.0
-39.1068900,175.0472500,96.0
-39.1067500,175.0470200,100.0
