Latitude,Longitude,Elevation
-41.0596300,174.9381400,64.0
-41.0596600,174.9381400,64.0
-41.0596900,174.9382000,64.0
-41.0597600,174.9383300,64.0
-41.0597400,174.9384700,64.0
-41.0597200,174.9385300,64.0
-41.0597100,174.9388100,64.0
-41.0597000,174.9389200,63.0
-41.0596700,174.9389900,62.0
-41.0595700,174.9390500,61.0
-41.0594300,174.9391100,61.0
-41.0593100,174.9391400,61.0
-41.0592100,174.9391200,61.0
-41.0591500,174.9390900,61.0
-41.0590400,174.9392600,61.0
-41.0589600,174.9393800,61.0
-41.0588900,174.9395500,61.0
-41.0588200,174.9397200,62.0
-41.0587000,174.9399300,62.0
-41.0585600,174.9401300,62.0
-41.0587000,174.9399300,62.0
-41.0588200,174.9397200,62.0
-41.0588900,174.9395500,61.0
-41.0589600,174.9393800,61.0
-41.0590400,174.9392600,61.0
-41.0591500,174.9390900,61.0
-41.0592100,174.9391200,61.0
-41.0593100,174.9391400,61.0
-41.0594300,174.9391100,61.0
-41.0595700,174.9390500,61.0
-41.0596700,174.9389900,62.0
-41.0597000,174.9389200,63.0
-41.0597100,174.9388100,64.0
-41.0597100,174.9387600,64.0
-41.0597100,174.9388100,64.0
-41.0597000,174.9389200,63.0
-41.0596700,174.9389900,62.0
-41.0595700,174.9390500,61.0
-41.0594300,174.9391100,61.0
-41.0593100,174.9391400,61.0
-41.0592100,174.9391200,61.0
-41.0591500,174.9390900,61.0
-41.0590400,174.9392600,61.0
-41.0590000,174.9393100,61.0
-41.0589600,174.9393800,61.0
-41.0588900,174.9395500,61.0
-41.0588200,174.9397200,62.0
-41.0587000,174.9399300,62.0
-41.0584700,174.9402400,62.0
-41.0583000,174.9404600,61.0
-41.0582100,174.9405800,61.0
-41.0580900,174.9407800,63.0
-41.0580600,174.9408400,64.0
-41.0579000,174.9410800,65.0
-41.0577300,174.9414100,67.0
-41.0576200,174.9417300,67.0
-41.0574800,174.9421100,69.0
-41.0573500,174.9424100,75.0
-41.0572900,174.9425500,77.0
-41.0572700,174.9426400,77.0
-41.0572400,174.9427300,77.0
-41.0572200,174.9428000,76.0
-41.0572200,174.9428700,76.0
-41.0572100,174.9429300,76.0
-41.0572200,174.9430700,75.0
-41.0571800,174.9433000,75.0
-41.0571100,174.9435200,76.0
-41.0570700,174.9436700,77.0
-41.0570800,174.9438100,78.0
-41.0571100,174.9439400,80.0
-41.0571700,174.9440900,83.0
-41.0572300,174.9442500,85.0
-41.0572500,174.9443600,87.0
-41.0572700,174.9444800,88.0
-41.0573200,174.9448100,93.0
-41.0573500,174.9450500,96.0
-41.0573800,174.9452100,97.0
-41.0574100,174.9453800,97.0
-41.0574600,174.9454900,95.0
-41.0575200,174.9455300,94.0
-41.0575800,174.9455600,94.0
-41.0576300,174.9455600,93.0
-41.0576900,174.9455400,93.0
-41.0577500,174.9455200,92.0
-41.0577900,174.9455200,92.0
-41.0578300,174.9455400,91.0
-41.0578600,174.9455600,90.0
-41.0578700,174.9456000,89.0
-41.0578700,174.9456300,88.0
-41.0578500,174.9456800,88.0
-41.0578300,174.9457200,87.0
-41.0577600,174.9457800,87.0
-41.0577000,174.9458500,87.0
-41.0576500,174.9459000,86.0
-41.0575500,174.9460100,85.0
-41.0574200,174.9461500,83.0
-41.0573000,174.9462400,82.0
-41.0571100,174.9463800,81.0
-41.0569700,174.9464800,80.0
-41.0567500,174.9466000,82.0
-41.0566400,174.9466800,81.0
-41.0566200,174.9467000,81.0
-41.0565400,174.9467700,81.0
-41.0564600,174.9468500,80.0
-41.0563700,174.9469200,79.0
-41.0562600,174.9470000,77.0
-41.0562000,174.9470600,77.0
-41.0561500,174.9471000,76.0
-41.0561200,174.9471500,75.0
-41.0561000,174.9472100,75.0
-41.0560900,174.9472600,74.0
-41.0560800,174.9472900,74.0
-41.0560700,174.9473000,74.0
-41.0560400,174.9473200,74.0
-41.0559800,174.9473500,74.0
-41.0558800,174.9473900,74.0
-41.0558000,174.9474200,74.0
-41.0557700,174.9474500,73.0
-41.0557600,174.9474800,73.0
-41.0557500,174.9475100,73.0
-41.0557400,174.9475500,73.0
-41.0557500,174.9475800,73.0
-41.0557600,174.9476100,73.0
-41.0557700,174.9476600,73.0
-41.0557800,174.9476900,73.0
-41.0558000,174.9477400,73.0
-41.0559100,174.9480700,74.0
-41.0560100,174.9483800,74.0
-41.0560200,174.9484000,74.0
-41.0560400,174.9484200,74.0
-41.0560500,174.9484200,74.0
-41.0560700,174.9484000,74.0
