Latitude,Longitude,Elevation
-40.9150200,175.1235600,152.0
-40.9150600,175.1238000,149.0
-40.9151800,175.1239600,148.0
-40.9153000,175.1242100,146.0
-40.9154700,175.1244500,145.0
-40.9155400,175.1246700,142.0
-40.9157100,175.1247500,142.0
-40.9160400,175.1252200,141.0
-40.9160800,175.1254200,141.0
-40.9164600,175.1257800,141.0
-40.9168900,175.1258200,141.0
-40.9174100,175.1256300,143.0
-40.9175900,175.1255800,143.0
-40.9181800,175.1255600,144.0
-40.9184300,175.1255300,148.0
-40.9188400,175.1258100,152.0
-40.9192400,175.1261600,153.0
-40.9196300,175.1265000,158.0
-40.9197900,175.1269700,155.0
-40.9199800,175.1271700,159.0
-40.9201300,175.1271800,158.0
-40.9203800,175.1270800,158.0
-40.9205300,175.1270400,160.0
-40.9207700,175.1270400,162.0
-40.9209100,175.1269600,162.0
-40.9210600,175.1269600,160.0
-40.9211800,175.1271000,159.0
-40.9211800,175.1271200,159.0
-40.9212000,175.1271800,159.0
-40.9212200,175.1272400,159.0
-40.9212200,175.1272900,159.0
-40.9212300,175.1273600,160.0
-40.9212600,175.1274100,161.0
-40.9212700,175.1274200,162.0
-40.9212700,175.1274900,162.0
-40.9212700,175.1275500,163.0
-40.9212600,175.1276100,164.0
-40.9212500,175.1276700,165.0
-40.9212400,175.1277400,166.0
-40.9212300,175.1277700,167.0
-40.9211900,175.1278200,167.0
-40.9211300,175.1278300,166.0
-40.9210900,175.1278400,166.0
-40.9210500,175.1278700,167.0
-40.9210400,175.1278700,167.0
-40.9210400,175.1278800,168.0
-40.9210100,175.1279300,169.0
-40.9209900,175.1279900,170.0
-40.9209800,175.1280500,171.0
-40.9209800,175.1281200,172.0
-40.9210000,175.1281700,172.0
-40.9210200,175.1282300,173.0
-40.9210300,175.1282400,172.0
-40.9210300,175.1283000,173.0
-40.9210000,175.1283700,174.0
-40.9209800,175.1284300,175.0
-40.9209600,175.1284900,177.0
-40.9209600,175.1285500,177.0
-40.9209700,175.1286100,178.0
-40.9209900,175.1286600,179.0
-40.9210100,175.1286700,179.0
-40.9210600,175.1286700,177.0
