Latitude,Longitude,Elevation
-40.9026000,176.2275600,4.0
-40.9026000,176.2275300,5.0
-40.9026000,176.2277900,2.0
-40.9026100,176.2279700,1.0
-40.9026300,176.2281800,1.0
-40.9026500,176.2284100,1.0
-40.9026500,176.2285700,1.0
-40.9026400,176.2287700,1.0
-40.9026100,176.2289300,1.0
-40.9025800,176.2290800,1.0
-40.9025500,176.2292100,2.0
-40.9025200,176.2292900,3.0
-40.9024800,176.2293500,4.0
-40.9024600,176.2293700,4.0
-40.9024400,176.2293800,4.0
-40.9024300,176.2293800,4.0
-40.9024100,176.2293900,4.0
-40.9024000,176.2293900,4.0
-40.9023900,176.2294000,4.0
-40.9023900,176.2294100,4.0
-40.9023800,176.2294200,4.0
-40.9023700,176.2294400,4.0
-40.9023400,176.2294700,4.0
-40.9023200,176.2294800,3.0
-40.9022800,176.2295000,3.0
-40.9022600,176.2295100,3.0
-40.9020700,176.2296300,4.0
-40.9020400,176.2296500,4.0
-40.9020300,176.2296700,4.0
-40.9020100,176.2297000,5.0
-40.9020000,176.2297200,5.0
-40.9019700,176.2297500,5.0
-40.9019300,176.2297800,5.0
-40.9019000,176.2298000,5.0
-40.9018600,176.2298300,4.0
-40.9018300,176.2298700,5.0
-40.9017600,176.2299300,5.0
-40.9017200,176.2299800,5.0
-40.9016900,176.2300100,6.0
-40.9016700,176.2300400,6.0
-40.9016400,176.2300800,7.0
-40.9016100,176.2301400,7.0
-40.9015900,176.2301900,8.0
-40.9015700,176.2302300,9.0
-40.9015400,176.2302800,10.0
-40.9014800,176.2303600,10.0
-40.9014200,176.2304500,11.0
-40.9013700,176.2305200,11.0
-40.9013400,176.2305600,11.0
-40.9012700,176.2306500,11.0
-40.9012500,176.2306900,11.0
-40.9011700,176.2308000,13.0
-40.9011200,176.2308800,13.0
-40.9010500,176.2309500,12.0
-40.9010000,176.2310100,11.0
-40.9009400,176.2310800,14.0
-40.9008900,176.2311300,15.0
-40.9008200,176.2311900,15.0
-40.9007900,176.2312200,14.0
-40.9006800,176.2312800,14.0
-40.9006100,176.2313300,16.0
-40.9005700,176.2313500,19.0
-40.9005300,176.2313600,19.0
-40.9004800,176.2313800,21.0
-40.9004300,176.2314000,22.0
-40.9004300,176.2313800,22.0
-40.9004200,176.2313800,22.0
-40.9004100,176.2313800,22.0
