Latitude,Longitude,Elevation
-40.8832200,175.4987600,267.0
-40.8831700,175.4987400,267.0
-40.8831600,175.4986900,267.0
-40.8831400,175.4986400,267.0
-40.8831200,175.4985800,267.0
-40.8830900,175.4985300,268.0
-40.8830800,175.4984800,268.0
-40.8830600,175.4984400,269.0
-40.8830300,175.4984000,269.0
-40.8830200,175.4983700,269.0
-40.8830000,175.4983500,269.0
-40.8829700,175.4983100,269.0
-40.8829500,175.4982700,269.0
-40.8829400,175.4982400,269.0
-40.8829100,175.4982100,268.0
-40.8828800,175.4981600,268.0
-40.8828700,175.4981200,267.0
-40.8828600,175.4980900,267.0
-40.8828400,175.4980400,266.0
-40.8828200,175.4980100,266.0
-40.8828100,175.4979700,266.0
-40.8827800,175.4979300,266.0
-40.8827600,175.4978900,266.0
-40.8827500,175.4978500,266.0
-40.8827400,175.4978000,266.0
-40.8827200,175.4977600,266.0
-40.8827000,175.4977200,266.0
-40.8826700,175.4976900,267.0
-40.8826500,175.4976500,267.0
-40.8826300,175.4976100,268.0
-40.8826100,175.4975700,268.0
-40.8825900,175.4975300,269.0
-40.8825800,175.4974900,269.0
-40.8825700,175.4974500,269.0
-40.8825600,175.4974100,269.0
-40.8825400,175.4973800,269.0
-40.8825200,175.4973500,269.0
-40.8825100,175.4973200,269.0
-40.8824900,175.4972800,270.0
-40.8824700,175.4972300,270.0
-40.8824500,175.4972000,269.0
-40.8824300,175.4971700,269.0
-40.8824100,175.4971400,269.0
-40.8824000,175.4971000,268.0
-40.8823900,175.4970700,268.0
-40.8823800,175.4970300,267.0
-40.8823600,175.4969800,266.0
-40.8823400,175.4969500,266.0
-40.8823100,175.4969300,266.0
-40.8822800,175.4969100,265.0
-40.8822500,175.4969000,265.0
-40.8822300,175.4969100,265.0
-40.8822000,175.4969100,266.0
-40.8821600,175.4969100,266.0
-40.8821400,175.4969000,266.0
-40.8821100,175.4968800,266.0
-40.8820700,175.4968700,267.0
-40.8820400,175.4968600,267.0
-40.8820100,175.4968500,267.0
-40.8819800,175.4968300,267.0
-40.8819400,175.4968200,268.0
-40.8819000,175.4968100,268.0
-40.8818700,175.4967900,269.0
-40.8818300,175.4967800,269.0
-40.8818000,175.4967600,270.0
-40.8817700,175.4967500,270.0
-40.8817500,175.4967400,270.0
-40.8817100,175.4967300,271.0
-40.8816800,175.4967300,272.0
-40.8816500,175.4967400,273.0
-40.8816200,175.4967200,273.0
-40.8815900,175.4967100,274.0
-40.8815600,175.4967100,275.0
-40.8815300,175.4967000,276.0
-40.8815000,175.4966900,277.0
-40.8815300,175.4966900,276.0
-40.8815100,175.4966700,276.0
-40.8814800,175.4966500,276.0
-40.8814500,175.4966300,277.0
-40.8814200,175.4966200,277.0
-40.8813900,175.4965900,278.0
-40.8813700,175.4965800,278.0
-40.8813400,175.4965600,279.0
-40.8813000,175.4965500,280.0
-40.8812700,175.4965400,281.0
-40.8812400,175.4965200,281.0
-40.8812100,175.4965000,282.0
-40.8811900,175.4964900,282.0
-40.8811600,175.4964700,282.0
-40.8811300,175.4964500,282.0
-40.8811000,175.4964200,282.0
-40.8810700,175.4964000,282.0
-40.8810500,175.4963700,282.0
-40.8810200,175.4963400,282.0
-40.8809900,175.4963100,282.0
-40.8809600,175.4962800,281.0
-40.8809300,175.4962600,281.0
-40.8809000,175.4962500,281.0
-40.8808700,175.4962300,281.0
-40.8808300,175.4962100,281.0
-40.8808100,175.4961900,280.0
-40.8807800,175.4961800,280.0
-40.8807500,175.4961700,280.0
-40.8807300,175.4961600,279.0
-40.8807000,175.4961400,279.0
-40.8806700,175.4961200,278.0
-40.8806300,175.4961100,278.0
-40.8806000,175.4961000,277.0
-40.8805800,175.4960800,277.0
-40.8805400,175.4960600,277.0
-40.8805100,175.4960500,278.0
-40.8804800,175.4960400,279.0
-40.8804500,175.4960300,280.0
-40.8804200,175.4960200,280.0
-40.8803800,175.4960200,282.0
-40.8803500,175.4960100,283.0
-40.8803200,175.4960000,284.0
-40.8802900,175.4959800,284.0
-40.8802500,175.4959700,285.0
-40.8802200,175.4959600,285.0
-40.8801900,175.4959500,286.0
-40.8801600,175.4959400,286.0
-40.8801400,175.4959200,286.0
-40.8801000,175.4959000,286.0
-40.8800700,175.4958900,287.0
-40.8800300,175.4958700,287.0
-40.8800100,175.4958500,287.0
-40.8799800,175.4958300,287.0
-40.8799400,175.4958000,286.0
-40.8799100,175.4957700,285.0
-40.8798800,175.4957400,284.0
-40.8798500,175.4957200,284.0
-40.8798300,175.4956900,283.0
-40.8798100,175.4956600,282.0
-40.8797900,175.4956300,281.0
-40.8797700,175.4956000,281.0
-40.8797500,175.4955700,280.0
-40.8797300,175.4955500,279.0
-40.8797100,175.4955200,279.0
-40.8796800,175.4955000,279.0
-40.8796500,175.4954700,279.0
-40.8796300,175.4954400,278.0
-40.8796000,175.4954100,278.0
-40.8795700,175.4953800,278.0
-40.8795400,175.4953600,278.0
