Latitude,Longitude,Elevation
-40.9067400,175.4793900,312.0
-40.9067500,175.4794100,311.0
-40.9067000,175.4790700,314.0
-40.9066700,175.4788000,315.0
-40.9066000,175.4785300,316.0
-40.9063800,175.4777700,315.0
-40.9064100,175.4775000,314.0
-40.9065200,175.4770900,315.0
-40.9065300,175.4770400,315.0
-40.9065500,175.4768900,315.0
-40.9065400,175.4767100,317.0
-40.9065300,175.4765300,318.0
-40.9065300,175.4761100,321.0
-40.9065100,175.4758300,321.0
-40.9065200,175.4758000,321.0
-40.9066100,175.4755300,321.0
-40.9066400,175.4754400,322.0
-40.9066400,175.4754200,322.0
-40.9065900,175.4753900,322.0
-40.9065900,175.4753800,322.0
-40.9065400,175.4753900,322.0
-40.9064300,175.4752700,321.0
-40.9063500,175.4750600,325.0
-40.9063100,175.4749300,328.0
-40.9063200,175.4747700,331.0
-40.9062000,175.4744800,335.0
-40.9060300,175.4742600,335.0
-40.9059400,175.4742600,335.0
-40.9059000,175.4742700,335.0
-40.9058000,175.4742700,335.0
-40.9056800,175.4740400,335.0
-40.9055300,175.4737800,336.0
-40.9052500,175.4733700,335.0
-40.9051500,175.4731600,336.0
-40.9049300,175.4729100,335.0
-40.9049100,175.4728300,335.0
-40.9049600,175.4725600,337.0
-40.9049700,175.4722700,339.0
-40.9048500,175.4719600,342.0
-40.9045800,175.4716100,343.0
-40.9044300,175.4713000,345.0
-40.9042000,175.4710600,343.0
-40.9041900,175.4710200,343.0
-40.9041700,175.4707600,347.0
-40.9040100,175.4706200,343.0
-40.9039000,175.4704400,342.0
-40.9036500,175.4701000,340.0
-40.9036100,175.4700300,340.0
-40.9035100,175.4697800,342.0
-40.9034300,175.4696900,343.0
-40.9033700,175.4696300,343.0
-40.9033100,175.4694000,346.0
-40.9031200,175.4693300,345.0
-40.9028400,175.4692700,345.0
-40.9027800,175.4691700,345.0
-40.9027900,175.4690900,346.0
-40.9028500,175.4689800,347.0
-40.9031200,175.4688000,348.0
-40.9031400,175.4686400,348.0
-40.9031300,175.4685600,348.0
-40.9031000,175.4684100,349.0
-40.9032800,175.4681600,350.0
-40.9034000,175.4681200,350.0
-40.9034800,175.4680900,351.0
-40.9035700,175.4680100,352.0
-40.9035900,175.4679400,353.0
-40.9037300,175.4677700,359.0
-40.9039000,175.4676300,365.0
-40.9040100,175.4675600,368.0
-40.9040700,175.4674400,369.0
-40.9042700,175.4671800,372.0
-40.9045100,175.4670200,376.0
-40.9046100,175.4668400,379.0
-40.9046500,175.4667200,379.0
-40.9046300,175.4665700,379.0
-40.9047000,175.4664100,380.0
-40.9048000,175.4663500,383.0
-40.9049500,175.4663300,386.0
-40.9050200,175.4662600,388.0
-40.9051700,175.4660000,390.0
-40.9053200,175.4657900,392.0
-40.9054800,175.4654400,396.0
-40.9055400,175.4652600,399.0
-40.9055700,175.4651700,400.0
-40.9055800,175.4649200,401.0
-40.9056400,175.4647100,402.0
-40.9058300,175.4643100,406.0
-40.9060000,175.4638300,410.0
-40.9060300,175.4637200,411.0
-40.9060600,175.4636400,411.0
-40.9059700,175.4633000,417.0
-40.9059900,175.4627700,429.0
-40.9061100,175.4617500,449.0
-40.9061600,175.4612600,457.0
-40.9061900,175.4612000,459.0
-40.9062400,175.4610300,462.0
-40.9062700,175.4609900,463.0
-40.9062700,175.4609300,464.0
-40.9063200,175.4608900,465.0
-40.9063700,175.4608700,466.0
-40.9064000,175.4608300,466.0
-40.9064200,175.4607900,467.0
-40.9064100,175.4607900,467.0
-40.9064300,175.4607300,467.0
-40.9064300,175.4606600,468.0
-40.9064300,175.4606000,469.0
-40.9064200,175.4605300,469.0
-40.9064100,175.4604700,470.0
-40.9064100,175.4604500,470.0
-40.9064100,175.4603700,471.0
-40.9064100,175.4603100,472.0
-40.9064000,175.4602500,473.0
-40.9063900,175.4601800,474.0
-40.9063900,175.4601100,475.0
-40.9063900,175.4600800,475.0
-40.9063900,175.4600100,476.0
-40.9063800,175.4599400,477.0
-40.9063700,175.4598800,478.0
-40.9063700,175.4598200,479.0
-40.9063700,175.4598100,479.0
-40.9063300,175.4597500,480.0
-40.9063000,175.4597100,480.0
-40.9062600,175.4596700,481.0
-40.9062200,175.4596300,482.0
-40.9062100,175.4595700,483.0
-40.9062000,175.4595000,485.0
-40.9061700,175.4594300,486.0
-40.9061400,175.4593600,488.0
-40.9061300,175.4592900,491.0
-40.9061100,175.4592100,493.0
-40.9061000,175.4591500,495.0
-40.9060900,175.4590800,496.0
-40.9060900,175.4590200,498.0
-40.9060900,175.4589500,499.0
-40.9060600,175.4588900,500.0
-40.9060300,175.4588400,501.0
-40.9060100,175.4587800,502.0
-40.9060100,175.4587600,503.0
-40.9060000,175.4587400,503.0
-40.9059700,175.4586700,505.0
-40.9059400,175.4586200,505.0
-40.9059100,175.4585700,507.0
-40.9058900,175.4585100,509.0
-40.9058800,175.4584900,509.0
-40.9058500,175.4584300,511.0
-40.9058100,175.4583500,514.0
-40.9057700,175.4582900,516.0
-40.9057300,175.4582400,518.0
-40.9057100,175.4582200,519.0
-40.9056600,175.4581900,520.0
-40.9056100,175.4581800,521.0
-40.9055600,175.4581800,521.0
-40.9055100,175.4582100,521.0
-40.9054900,175.4582600,519.0
-40.9054700,175.4583300,517.0
-40.9054500,175.4583900,516.0
-40.9054500,175.4584000,516.0
-40.9054500,175.4584700,515.0
-40.9054400,175.4585300,514.0
-40.9054200,175.4585900,513.0
-40.9053900,175.4586500,512.0
-40.9053500,175.4586900,513.0
-40.9053100,175.4587300,513.0
-40.9053000,175.4587300,513.0
-40.9052900,175.4587300,514.0
-40.9052400,175.4587800,514.0
-40.9052000,175.4588200,514.0
-40.9051600,175.4588500,515.0
-40.9051200,175.4588700,515.0
-40.9050400,175.4588900,516.0
-40.9049900,175.4589000,518.0
-40.9049400,175.4588600,520.0
-40.9048900,175.4588400,522.0
-40.9048400,175.4588200,525.0
-40.9047900,175.4588100,527.0
-40.9047500,175.4588000,529.0
-40.9047000,175.4588000,530.0
-40.9046600,175.4588400,529.0
-40.9046600,175.4588500,529.0
-40.9046400,175.4588500,530.0
-40.9045800,175.4589300,529.0
-40.9045500,175.4589800,527.0
-40.9045200,175.4590400,527.0
-40.9044700,175.4590600,527.0
-40.9044200,175.4590700,528.0
-40.9043700,175.4590800,528.0
-40.9043200,175.4590800,528.0
-40.9042700,175.4590700,528.0
