Latitude,Longitude,Elevation
-41.3489000,174.9303600,86.0
-41.3489200,174.9304200,86.0
-41.3489400,174.9304800,87.0
-41.3489800,174.9305300,88.0
-41.3490100,174.9305800,90.0
-41.3490100,174.9305900,89.0
-41.3490500,174.9306300,91.0
-41.3490800,174.9306800,92.0
-41.3491000,174.9307400,92.0
-41.3491300,174.9308000,93.0
-41.3491600,174.9308500,94.0
-41.3491900,174.9309100,96.0
-41.3492400,174.9309700,99.0
-41.3492600,174.9310200,100.0
-41.3492900,174.9310700,102.0
-41.3493200,174.9311300,104.0
-41.3493300,174.9312000,105.0
-41.3493500,174.9312600,105.0
-41.3493500,174.9313200,105.0
-41.3493500,174.9313800,105.0
-41.3493600,174.9314500,104.0
-41.3493600,174.9315100,103.0
-41.3493700,174.9315200,103.0
-41.3493900,174.9315900,103.0
-41.3494000,174.9316200,103.0
-41.3494200,174.9316800,103.0
-41.3494300,174.9317500,102.0
-41.3494300,174.9318100,101.0
-41.3494400,174.9318700,100.0
-41.3494600,174.9319000,100.0
-41.3494800,174.9319800,99.0
-41.3495100,174.9320400,100.0
-41.3495300,174.9320900,100.0
-41.3495500,174.9321500,100.0
-41.3495800,174.9322100,100.0
-41.3496100,174.9322600,102.0
-41.3496300,174.9322900,103.0
-41.3496700,174.9323400,106.0
-41.3497000,174.9324000,108.0
-41.3497200,174.9324500,109.0
-41.3497200,174.9325100,108.0
-41.3497000,174.9325600,107.0
-41.3496800,174.9326200,105.0
-41.3496700,174.9326800,103.0
-41.3496700,174.9327400,103.0
-41.3497000,174.9328000,105.0
-41.3497300,174.9328300,108.0
-41.3497300,174.9329000,107.0
-41.3497100,174.9329600,105.0
-41.3496700,174.9330100,102.0
-41.3496300,174.9330500,99.0
-41.3495900,174.9330900,96.0
-41.3495600,174.9331500,94.0
-41.3495500,174.9332100,93.0
-41.3495400,174.9332700,93.0
-41.3495100,174.9333200,90.0
-41.3494800,174.9333700,88.0
-41.3494400,174.9334400,87.0
-41.3494000,174.9334900,87.0
-41.3493500,174.9335200,86.0
-41.3492900,174.9335800,85.0
-41.3492500,174.9336200,84.0
-41.3492100,174.9336700,83.0
-41.3491800,174.9337100,82.0
-41.3491600,174.9337100,81.0
-41.3491300,174.9337600,81.0
-41.3491000,174.9338200,81.0
-41.3490700,174.9338700,81.0
-41.3490400,174.9339200,81.0
-41.3490200,174.9339800,81.0
-41.3490200,174.9340400,81.0
-41.3490200,174.9341000,81.0
-41.3490400,174.9341600,82.0
-41.3490500,174.9342100,82.0
-41.3490600,174.9342800,82.0
-41.3490800,174.9343500,83.0
-41.3491100,174.9344000,83.0
-41.3491300,174.9344600,84.0
-41.3491500,174.9345200,85.0
-41.3491700,174.9345800,86.0
-41.3491800,174.9346500,87.0
-41.3491900,174.9347200,89.0
-41.3491900,174.9347800,89.0
-41.3491700,174.9348400,89.0
-41.3491600,174.9348400,89.0
-41.3491200,174.9348700,88.0
-41.3490800,174.9349100,88.0
-41.3490300,174.9349500,87.0
-41.3489900,174.9349700,86.0
-41.3489300,174.9349800,85.0
-41.3488900,174.9350000,84.0
-41.3488400,174.9350200,85.0
-41.3488000,174.9350400,85.0
-41.3487600,174.9350800,86.0
-41.3487100,174.9351200,86.0
-41.3486700,174.9351700,86.0
-41.3486400,174.9352200,86.0
-41.3486200,174.9352800,86.0
-41.3486200,174.9353400,86.0
-41.3486200,174.9354100,87.0
-41.3486100,174.9354600,87.0
-41.3486100,174.9355300,87.0
-41.3486000,174.9356100,88.0
-41.3486000,174.9356700,89.0
-41.3485900,174.9357400,90.0
-41.3485800,174.9358100,91.0
-41.3485600,174.9358700,92.0
-41.3485300,174.9359200,93.0
-41.3485000,174.9359800,93.0
-41.3484900,174.9360000,94.0
-41.3484500,174.9360700,94.0
-41.3484100,174.9361300,94.0
-41.3483900,174.9361900,95.0
-41.3483800,174.9362000,95.0
-41.3483700,174.9362200,95.0
-41.3483600,174.9363000,96.0
-41.3483500,174.9363800,97.0
-41.3483500,174.9364500,97.0
-41.3483500,174.9365200,98.0
-41.3483400,174.9366000,97.0
-41.3483400,174.9366700,98.0
-41.3483400,174.9367300,98.0
-41.3483400,174.9367900,98.0
-41.3483400,174.9368600,98.0
-41.3483500,174.9369700,99.0
-41.3483500,174.9370400,99.0
-41.3483500,174.9371200,100.0
-41.3483500,174.9371900,101.0
-41.3483300,174.9372600,101.0
-41.3483300,174.9373000,101.0
-41.3483000,174.9374000,101.0
-41.3482900,174.9374600,101.0
-41.3482700,174.9375300,101.0
-41.3482400,174.9375900,101.0
-41.3482200,174.9376600,101.0
-41.3481900,174.9377200,101.0
-41.3481500,174.9377900,101.0
-41.3481200,174.9378400,100.0
-41.3480700,174.9378900,100.0
-41.3480200,174.9379500,100.0
-41.3480000,174.9379700,101.0
-41.3479600,174.9380200,101.0
-41.3479300,174.9380700,102.0
-41.3479000,174.9381400,102.0
-41.3479100,174.9382000,102.0
-41.3479400,174.9382300,102.0
-41.3479700,174.9382800,102.0
-41.3479900,174.9383400,102.0
-41.3480000,174.9383600,102.0
-41.3480100,174.9383900,103.0
-41.3480100,174.9384600,104.0
-41.3480100,174.9385400,105.0
-41.3479900,174.9386100,106.0
-41.3479700,174.9386700,107.0
-41.3479600,174.9387300,108.0
-41.3479300,174.9387900,108.0
-41.3479100,174.9388400,109.0
-41.3478700,174.9388800,108.0
-41.3478600,174.9389000,108.0
-41.3478500,174.9389000,108.0
-41.3478100,174.9389200,107.0
-41.3477500,174.9389300,106.0
-41.3477000,174.9389400,106.0
-41.3476500,174.9389500,106.0
-41.3476000,174.9389400,105.0
-41.3475500,174.9389400,104.0
-41.3475000,174.9389500,104.0
-41.3474500,174.9389700,105.0
-41.3474200,174.9389900,105.0
-41.3474000,174.9390000,105.0
-41.3473400,174.9390400,105.0
-41.3472900,174.9390800,105.0
-41.3472300,174.9391000,105.0
-41.3471800,174.9391200,105.0
-41.3471300,174.9391500,105.0
-41.3470800,174.9391700,105.0
-41.3470400,174.9392300,106.0
-41.3470100,174.9392900,106.0
-41.3469800,174.9393600,107.0
-41.3469600,174.9394300,107.0
-41.3469500,174.9394900,108.0
-41.3469500,174.9395500,108.0
-41.3469600,174.9396100,108.0
-41.3469700,174.9396100,108.0
-41.3469800,174.9397000,108.0
-41.3470000,174.9397900,110.0
-41.3470200,174.9398500,111.0
-41.3470300,174.9399100,112.0
-41.3470500,174.9399800,114.0
-41.3470700,174.9400400,115.0
-41.3471000,174.9400900,117.0
-41.3471300,174.9401500,118.0
-41.3471700,174.9402300,120.0
-41.3471900,174.9403000,121.0
-41.3472200,174.9403600,122.0
-41.3472500,174.9404200,122.0
-41.3472700,174.9404700,122.0
-41.3472800,174.9404700,122.0
-41.3473000,174.9405500,122.0
-41.3473100,174.9406000,123.0
-41.3473300,174.9406900,123.0
-41.3473500,174.9407500,124.0
-41.3473600,174.9408100,124.0
-41.3473800,174.9408900,125.0
-41.3474000,174.9409500,126.0
-41.3474200,174.9409900,126.0
-41.3474200,174.9410000,126.0
-41.3474200,174.9410800,126.0
-41.3474200,174.9411400,127.0
-41.3474200,174.9412100,128.0
-41.3474100,174.9412700,128.0
-41.3473900,174.9413400,128.0
-41.3473600,174.9413800,127.0
-41.3473500,174.9413900,126.0
-41.3473400,174.9413900,126.0
-41.3472800,174.9414500,122.0
-41.3472400,174.9415100,120.0
-41.3472100,174.9415500,119.0
-41.3471800,174.9416000,118.0
-41.3471600,174.9416600,117.0
-41.3471500,174.9417200,117.0
-41.3471800,174.9417800,119.0
-41.3472100,174.9418300,120.0
-41.3472200,174.9418500,121.0
-41.3471800,174.9418900,120.0
-41.3471500,174.9419400,119.0
-41.3471100,174.9419800,118.0
-41.3470600,174.9420200,116.0
-41.3470200,174.9420900,116.0
-41.3469900,174.9421400,116.0
-41.3469600,174.9421800,115.0
-41.3469200,174.9422200,115.0
-41.3468800,174.9422900,116.0
-41.3468500,174.9423400,116.0
-41.3468300,174.9424000,116.0
-41.3468100,174.9424600,117.0
-41.3468000,174.9425200,117.0
-41.3467700,174.9425700,117.0
-41.3467300,174.9426300,117.0
-41.3467100,174.9426600,117.0
-41.3467000,174.9426700,117.0
-41.3466600,174.9427000,117.0
-41.3466200,174.9427400,116.0
-41.3465900,174.9427900,117.0
-41.3465600,174.9428400,117.0
-41.3465400,174.9429100,119.0
-41.3465100,174.9429700,119.0
-41.3464800,174.9430500,120.0
-41.3464500,174.9430900,120.0
-41.3463800,174.9431500,120.0
-41.3463100,174.9432100,121.0
-41.3462500,174.9432600,121.0
-41.3461700,174.9433200,122.0
-41.3461300,174.9433600,123.0
-41.3460800,174.9434000,123.0
-41.3460200,174.9434500,124.0
-41.3459800,174.9434800,124.0
-41.3459100,174.9435100,124.0
-41.3458600,174.9435400,125.0
-41.3458200,174.9435800,125.0
-41.3457700,174.9436100,125.0
-41.3457300,174.9436200,125.0
-41.3456700,174.9436200,124.0
-41.3456100,174.9436100,122.0
-41.3455600,174.9436000,121.0
-41.3455100,174.9435700,120.0
-41.3454800,174.9435500,119.0
-41.3454700,174.9435400,119.0
-41.3454200,174.9435200,119.0
-41.3453600,174.9435100,118.0
-41.3453100,174.9435100,118.0
-41.3452400,174.9435300,118.0
-41.3451700,174.9435700,118.0
-41.3451200,174.9436300,118.0
-41.3450800,174.9436800,119.0
-41.3450500,174.9437200,119.0
-41.3449800,174.9437600,119.0
-41.3449400,174.9437900,119.0
-41.3448900,174.9438100,118.0
-41.3448300,174.9438300,118.0
-41.3447700,174.9438700,117.0
-41.3447100,174.9439100,117.0
-41.3446700,174.9439500,118.0
-41.3446300,174.9439900,118.0
-41.3445900,174.9440400,119.0
-41.3445700,174.9440700,120.0
-41.3445500,174.9440700,120.0
-41.3445100,174.9441300,120.0
-41.3444700,174.9441700,121.0
-41.3444200,174.9442300,121.0
-41.3443800,174.9442800,122.0
-41.3443400,174.9443300,122.0
-41.3443100,174.9443700,122.0
-41.3442600,174.9444200,122.0
-41.3442200,174.9444700,122.0
-41.3441800,174.9445400,122.0
-41.3441400,174.9445900,122.0
-41.3441100,174.9446300,122.0
-41.3440800,174.9446900,122.0
-41.3440300,174.9447700,122.0
-41.3440000,174.9448400,122.0
-41.3439900,174.9448900,123.0
-41.3439700,174.9449600,124.0
-41.3439500,174.9450100,124.0
-41.3439400,174.9450600,125.0
-41.3439000,174.9451000,125.0
-41.3438500,174.9451100,123.0
-41.3438000,174.9451100,122.0
-41.3437300,174.9451000,120.0
-41.3436600,174.9450900,117.0
-41.3436200,174.9450900,116.0
-41.3435800,174.9451000,116.0
-41.3435200,174.9451000,115.0
-41.3434300,174.9451000,114.0
-41.3433900,174.9451000,114.0
-41.3433200,174.9451100,113.0
-41.3432700,174.9451200,114.0
-41.3432000,174.9451400,114.0
-41.3431500,174.9451600,114.0
-41.3430900,174.9452200,115.0
-41.3430500,174.9452600,115.0
-41.3430300,174.9453300,116.0
-41.3430200,174.9453900,117.0
-41.3430400,174.9454600,118.0
-41.3430600,174.9455100,119.0
-41.3430700,174.9455100,119.0
-41.3430700,174.9456000,120.0
-41.3430600,174.9456700,121.0
-41.3430600,174.9457400,123.0
-41.3430600,174.9458100,124.0
-41.3430300,174.9458700,124.0
-41.3430000,174.9459200,124.0
-41.3429600,174.9459600,123.0
-41.3429300,174.9460100,123.0
-41.3429000,174.9460700,122.0
-41.3428700,174.9461200,122.0
-41.3428600,174.9461400,122.0
-41.3428400,174.9461900,123.0
-41.3428300,174.9462700,124.0
-41.3428200,174.9463300,124.0
-41.3428000,174.9463900,125.0
-41.3427700,174.9464500,125.0
-41.3427500,174.9465100,125.0
-41.3427200,174.9465700,126.0
-41.3426900,174.9466300,126.0
-41.3426700,174.9466800,126.0
-41.3426300,174.9467400,127.0
-41.3426000,174.9468200,128.0
-41.3425700,174.9468800,128.0
-41.3425500,174.9469400,129.0
-41.3425100,174.9469800,128.0
-41.3425000,174.9469900,128.0
-41.3424600,174.9470300,128.0
-41.3424200,174.9471000,128.0
-41.3423800,174.9471500,128.0
-41.3423400,174.9472200,128.0
-41.3423100,174.9472700,128.0
-41.3422700,174.9473100,128.0
-41.3422200,174.9473600,127.0
-41.3421600,174.9474100,127.0
-41.3421100,174.9474500,127.0
-41.3420700,174.9474900,127.0
-41.3420300,174.9475700,127.0
-41.3420000,174.9476300,126.0
-41.3419800,174.9476900,126.0
-41.3419500,174.9477400,125.0
-41.3419100,174.9477800,124.0
-41.3418800,174.9478300,125.0
-41.3418700,174.9478600,125.0
-41.3418700,174.9479400,126.0
-41.3418700,174.9480100,128.0
-41.3418700,174.9480700,129.0
-41.3418700,174.9480900,129.0
-41.3418700,174.9481600,130.0
-41.3418700,174.9482600,132.0
-41.3418800,174.9483200,134.0
-41.3418900,174.9483800,135.0
-41.3419000,174.9484500,136.0
