Latitude,Longitude,Elevation
-40.1846700,175.8681900,425.0
-40.1849700,175.8682400,421.0
-40.1850200,175.8682400,419.0
-40.1850700,175.8682600,418.0
-40.1851200,175.8682600,416.0
-40.1851600,175.8682800,415.0
-40.1852100,175.8683300,415.0
-40.1852500,175.8683700,414.0
-40.1852800,175.8684300,415.0
-40.1853100,175.8686300,418.0
-40.1853400,175.8687800,419.0
-40.1853400,175.8688800,421.0
-40.1853300,175.8689700,424.0
-40.1853100,175.8690300,426.0
-40.1852800,175.8690800,429.0
-40.1852800,175.8691600,430.0
-40.1853000,175.8692300,430.0
-40.1853300,175.8693100,430.0
-40.1853400,175.8693800,430.0
-40.1853800,175.8694200,429.0
-40.1853900,175.8694800,430.0
-40.1853900,175.8695500,431.0
-40.1853600,175.8696100,434.0
-40.1853600,175.8696800,435.0
-40.1853600,175.8697400,437.0
-40.1853600,175.8698100,438.0
-40.1853600,175.8698900,440.0
-40.1853400,175.8700000,443.0
-40.1853000,175.8700800,445.0
-40.1852800,175.8701500,447.0
-40.1852500,175.8701900,448.0
-40.1852000,175.8702100,449.0
-40.1851500,175.8702100,450.0
-40.1851200,175.8702600,451.0
-40.1850700,175.8702600,452.0
-40.1850200,175.8702800,453.0
-40.1849700,175.8703200,454.0
-40.1849300,175.8703600,456.0
-40.1849000,175.8704100,456.0
-40.1848700,175.8704500,457.0
-40.1848200,175.8704500,457.0
-40.1847500,175.8704500,458.0
-40.1846900,175.8704700,458.0
-40.1846100,175.8704900,458.0
-40.1845600,175.8705400,459.0
-40.1845100,175.8705800,460.0
-40.1844400,175.8706200,461.0
-40.1844100,175.8706600,461.0
-40.1843600,175.8707100,462.0
-40.1843100,175.8707500,462.0
-40.1843100,175.8708100,463.0
-40.1843400,175.8709000,466.0
-40.1843800,175.8710300,470.0
-40.1843900,175.8710900,471.0
-40.1844400,175.8711800,475.0
-40.1844800,175.8712200,476.0
-40.1845100,175.8712600,478.0
-40.1845700,175.8712900,480.0
-40.1846200,175.8713300,482.0
-40.1846700,175.8713500,484.0
-40.1847100,175.8713900,486.0
-40.1847500,175.8714800,489.0
-40.1847900,175.8715900,493.0
-40.1847900,175.8716500,495.0
-40.1847900,175.8717200,498.0
-40.1847900,175.8717800,500.0
-40.1847700,175.8718700,503.0
-40.1847500,175.8719300,505.0
-40.1847400,175.8719900,507.0
-40.1847400,175.8720600,509.0
-40.1847700,175.8721000,511.0
-40.1848000,175.8721900,513.0
-40.1848400,175.8722700,514.0
-40.1848500,175.8723400,515.0
-40.1848400,175.8724000,515.0
-40.1848500,175.8724900,516.0
-40.1848700,175.8725700,517.0
-40.1849000,175.8726600,518.0
-40.1849200,175.8727500,519.0
-40.1849700,175.8727900,521.0
-40.1850000,175.8728300,522.0
-40.1850300,175.8728700,521.0
-40.1850700,175.8729200,521.0
-40.1851000,175.8729800,522.0
-40.1851300,175.8730500,522.0
-40.1851500,175.8731100,522.0
-40.1851800,175.8731500,523.0
-40.1852000,175.8732200,523.0
-40.1852100,175.8732800,524.0
-40.1852300,175.8733500,525.0
-40.1852500,175.8734300,526.0
-40.1852500,175.8735000,527.0
-40.1852600,175.8735600,528.0
-40.1853000,175.8736300,530.0
-40.1853300,175.8736700,532.0
-40.1853600,175.8737100,533.0
-40.1853800,175.8737800,535.0
-40.1854100,175.8739000,539.0
-40.1854300,175.8739900,541.0
-40.1854400,175.8740800,544.0
-40.1854600,175.8741400,546.0
-40.1854900,175.8741800,547.0
-40.1855300,175.8742300,550.0
-40.1855700,175.8742500,551.0
-40.1856100,175.8742900,553.0
-40.1856400,175.8743300,555.0
-40.1856700,175.8744200,559.0
-40.1856900,175.8744800,561.0
-40.1857100,175.8745700,565.0
