Latitude,Longitude,Elevation
-39.2024900,174.0572800,522.0
-39.2026200,174.0571800,523.0
-39.2026800,174.0571400,524.0
-39.2027300,174.0571100,524.0
-39.2027800,174.0570900,525.0
-39.2028300,174.0570600,525.0
-39.2028800,174.0570500,525.0
-39.2029300,174.0570300,526.0
-39.2029800,174.0570100,526.0
-39.2030200,174.0569900,527.0
-39.2030800,174.0569800,527.0
-39.2031300,174.0569800,527.0
-39.2031800,174.0569700,528.0
-39.2032300,174.0569500,528.0
-39.2032700,174.0569200,529.0
-39.2033100,174.0568800,529.0
-39.2033400,174.0568300,530.0
-39.2033700,174.0567800,531.0
-39.2034000,174.0567200,532.0
-39.2034300,174.0566800,532.0
-39.2034600,174.0566100,533.0
-39.2034900,174.0565600,533.0
-39.2035000,174.0565000,534.0
-39.2035400,174.0564300,534.0
-39.2035800,174.0563700,534.0
-39.2036200,174.0562900,535.0
-39.2036500,174.0562100,535.0
-39.2036900,174.0561700,536.0
-39.2037100,174.0561200,536.0
-39.2037400,174.0560800,536.0
-39.2037700,174.0560600,536.0
-39.2037500,174.0560800,536.0
-39.2039500,174.0556800,540.0
-39.2040200,174.0554800,542.0
-39.2040500,174.0553300,543.0
-39.2040600,174.0550700,545.0
-39.2040200,174.0546800,548.0
-39.2040300,174.0545700,549.0
-39.2042000,174.0540200,551.0
-39.2042100,174.0539800,551.0
-39.2046500,174.0532800,557.0
-39.2047200,174.0532000,557.0
-39.2047600,174.0531600,558.0
-39.2048000,174.0531200,559.0
-39.2048400,174.0530900,560.0
-39.2048800,174.0530600,560.0
-39.2049200,174.0530300,561.0
-39.2049700,174.0529900,562.0
-39.2050100,174.0529500,563.0
-39.2050400,174.0529000,563.0
-39.2050700,174.0528500,563.0
-39.2051000,174.0527800,564.0
-39.2051300,174.0527300,564.0
-39.2051700,174.0526800,565.0
-39.2052100,174.0526400,565.0
-39.2052400,174.0525900,566.0
-39.2052700,174.0525500,566.0
-39.2053000,174.0524900,566.0
-39.2053100,174.0524400,566.0
-39.2053300,174.0523800,567.0
-39.2053400,174.0523100,567.0
-39.2053600,174.0522500,567.0
-39.2053800,174.0521900,567.0
-39.2053800,174.0521800,567.0
-39.2054000,174.0520400,567.0
-39.2054000,174.0519600,568.0
-39.2054000,174.0518900,568.0
-39.2054000,174.0518200,568.0
-39.2054000,174.0517300,568.0
-39.2054000,174.0516600,569.0
-39.2054000,174.0516000,569.0
-39.2054000,174.0515300,569.0
-39.2054000,174.0514700,570.0
-39.2054000,174.0514100,570.0
-39.2054100,174.0513300,571.0
-39.2054100,174.0512700,571.0
-39.2054100,174.0512100,572.0
-39.2054200,174.0511500,572.0
-39.2054300,174.0510900,573.0
-39.2054400,174.0510200,573.0
-39.2054400,174.0510000,573.0
-39.2054700,174.0508100,574.0
-39.2054900,174.0507400,575.0
-39.2055100,174.0506900,575.0
-39.2055400,174.0506400,575.0
-39.2055700,174.0505800,575.0
-39.2056000,174.0505300,575.0
-39.2056400,174.0504900,576.0
-39.2056900,174.0504300,576.0
-39.2057300,174.0503800,576.0
-39.2057700,174.0503200,576.0
-39.2057900,174.0502700,577.0
-39.2058200,174.0502200,577.0
-39.2058500,174.0501700,577.0
-39.2058600,174.0501100,578.0
-39.2058800,174.0500500,578.0
-39.2058900,174.0499900,579.0
-39.2059100,174.0499300,579.0
-39.2059300,174.0498700,579.0
-39.2059400,174.0498100,579.0
-39.2059500,174.0497500,579.0
-39.2059700,174.0497000,580.0
-39.2059700,174.0496700,580.0
-39.2060100,174.0495500,580.0
-39.2060400,174.0494800,580.0
-39.2060800,174.0494300,580.0
-39.2061100,174.0493800,580.0
-39.2061600,174.0493600,581.0
-39.2062000,174.0493600,581.0
-39.2062500,174.0493800,581.0
-39.2063000,174.0493800,582.0
-39.2063400,174.0493400,582.0
-39.2063800,174.0493100,583.0
-39.2064100,174.0492800,583.0
-39.2064500,174.0492400,584.0
-39.2064900,174.0492100,585.0
-39.2065300,174.0491800,585.0
-39.2065600,174.0491600,586.0
-39.2066600,174.0490400,588.0
-39.2067000,174.0490100,589.0
-39.2067400,174.0489700,589.0
-39.2067900,174.0489300,590.0
-39.2068400,174.0489100,592.0
-39.2068800,174.0488900,592.0
-39.2069300,174.0488500,594.0
-39.2069700,174.0488000,594.0
-39.2070100,174.0487600,595.0
-39.2070500,174.0487200,596.0
-39.2070900,174.0486900,597.0
-39.2071400,174.0486600,597.0
-39.2071900,174.0486200,598.0
-39.2072400,174.0485900,599.0
-39.2072900,174.0485600,599.0
-39.2073300,174.0485400,600.0
-39.2073800,174.0485200,601.0
-39.2073900,174.0485100,601.0
-39.2074800,174.0484500,602.0
-39.2075200,174.0484300,603.0
-39.2075800,174.0484000,604.0
-39.2076300,174.0483700,604.0
-39.2076700,174.0483500,605.0
-39.2077200,174.0483400,606.0
-39.2077700,174.0483200,606.0
-39.2078000,174.0482900,607.0
-39.2078300,174.0482400,607.0
-39.2078600,174.0481900,607.0
-39.2078800,174.0481300,608.0
-39.2079100,174.0480800,608.0
-39.2079400,174.0480200,608.0
-39.2079700,174.0479700,608.0
-39.2080000,174.0479300,609.0
-39.2080500,174.0479000,609.0
-39.2081000,174.0478800,610.0
-39.2081400,174.0478700,611.0
-39.2081600,174.0478700,611.0
-39.2083200,174.0478200,613.0
-39.2083700,174.0478100,614.0
-39.2084200,174.0478100,614.0
-39.2084800,174.0478100,615.0
-39.2085300,174.0478000,615.0
-39.2085700,174.0477900,616.0
-39.2086200,174.0477800,617.0
-39.2086700,174.0477800,617.0
-39.2087400,174.0477800,617.0
-39.2088000,174.0477800,618.0
-39.2088500,174.0477800,618.0
-39.2089000,174.0477800,619.0
-39.2089500,174.0477800,619.0
-39.2089800,174.0477900,619.0
-39.2090700,174.0478000,620.0
-39.2091200,174.0478000,621.0
-39.2091600,174.0478000,621.0
-39.2092100,174.0477800,622.0
-39.2092600,174.0477600,623.0
-39.2093000,174.0477400,624.0
-39.2093400,174.0477000,625.0
-39.2094000,174.0476700,626.0
-39.2094400,174.0476400,626.0
-39.2094800,174.0476100,627.0
-39.2095300,174.0475900,628.0
-39.2095800,174.0475700,628.0
-39.2096300,174.0475500,629.0
-39.2096700,174.0475100,630.0
-39.2097100,174.0474800,630.0
-39.2097400,174.0474400,630.0
-39.2097700,174.0473800,630.0
-39.2098100,174.0473200,630.0
-39.2098400,174.0472700,629.0
-39.2098700,174.0472300,629.0
-39.2099100,174.0471900,629.0
-39.2099500,174.0471500,629.0
-39.2099800,174.0471100,629.0
-39.2100100,174.0470600,629.0
-39.2100300,174.0470200,629.0
-39.2101500,174.0466700,635.0
-39.2101700,174.0466100,636.0
-39.2101800,174.0465400,637.0
-39.2102100,174.0464600,638.0
-39.2102300,174.0463900,639.0
-39.2102400,174.0463300,640.0
-39.2102600,174.0462800,641.0
-39.2102600,174.0462100,641.0
-39.2102600,174.0461400,642.0
-39.2102600,174.0460800,643.0
-39.2102500,174.0460200,644.0
-39.2102600,174.0459600,645.0
-39.2102800,174.0458700,646.0
-39.2103200,174.0458100,647.0
-39.2103600,174.0457700,647.0
-39.2104100,174.0457400,647.0
-39.2104700,174.0457000,648.0
-39.2105200,174.0456600,649.0
-39.2105600,174.0456400,649.0
-39.2106100,174.0456000,650.0
-39.2106500,174.0455500,650.0
-39.2106700,174.0454900,651.0
-39.2107000,174.0454200,651.0
-39.2107500,174.0453700,652.0
-39.2107800,174.0453100,652.0
-39.2108200,174.0452300,653.0
-39.2108400,174.0451800,654.0
-39.2108800,174.0451300,654.0
-39.2109100,174.0450800,655.0
-39.2109400,174.0450300,656.0
-39.2109700,174.0449800,657.0
-39.2109900,174.0449300,657.0
-39.2110100,174.0448900,658.0
-39.2110600,174.0447300,661.0
-39.2110900,174.0446800,662.0
-39.2111300,174.0446500,662.0
-39.2111800,174.0446100,663.0
-39.2112300,174.0445900,663.0
-39.2112700,174.0445500,664.0
-39.2113100,174.0445100,665.0
-39.2113500,174.0444600,667.0
-39.2113800,174.0444200,668.0
-39.2114200,174.0443800,669.0
-39.2114500,174.0443400,669.0
-39.2114800,174.0442900,670.0
-39.2115000,174.0442300,672.0
-39.2115200,174.0441700,673.0
-39.2115300,174.0441100,673.0
-39.2115500,174.0440500,674.0
-39.2115800,174.0439900,675.0
-39.2116000,174.0439400,675.0
-39.2116300,174.0438900,676.0
-39.2116500,174.0438500,677.0
-39.2116900,174.0438000,678.0
-39.2117300,174.0437700,678.0
-39.2117700,174.0437400,679.0
-39.2118200,174.0437100,680.0
-39.2118600,174.0436800,681.0
-39.2119100,174.0436500,682.0
-39.2119600,174.0436400,682.0
-39.2120100,174.0436100,683.0
-39.2120600,174.0435800,685.0
-39.2120900,174.0435500,686.0
-39.2121300,174.0435000,687.0
-39.2121700,174.0434600,688.0
-39.2121900,174.0434100,689.0
-39.2122200,174.0433600,690.0
-39.2122500,174.0432800,691.0
-39.2122800,174.0432400,692.0
-39.2123200,174.0431800,693.0
-39.2123500,174.0431300,694.0
-39.2123800,174.0430800,695.0
-39.2124100,174.0430300,696.0
-39.2124300,174.0430000,697.0
-39.2124700,174.0428900,700.0
-39.2124800,174.0428200,701.0
-39.2124900,174.0427500,702.0
-39.2125200,174.0426900,704.0
