Latitude,Longitude,Elevation
-39.8934900,175.9976900,840.0
-39.8935300,175.9978600,843.0
-39.8935600,175.9979100,844.0
-39.8936000,175.9979400,845.0
-39.8936500,175.9979300,847.0
-39.8936900,175.9979000,849.0
-39.8937400,175.9979500,852.0
-39.8937800,175.9979900,854.0
-39.8938200,175.9980400,858.0
-39.8938700,175.9980700,861.0
-39.8939000,175.9980900,862.0
-39.8939500,175.9981500,864.0
-39.8939800,175.9982000,865.0
-39.8940300,175.9982100,867.0
-39.8940800,175.9981900,869.0
-39.8941000,175.9981800,870.0
-39.8941800,175.9982100,873.0
-39.8942300,175.9982300,875.0
-39.8942800,175.9982300,877.0
-39.8943300,175.9982300,878.0
-39.8943400,175.9982300,879.0
-39.8945800,175.9982500,887.0
-39.8946300,175.9982500,888.0
-39.8946900,175.9982500,890.0
-39.8947600,175.9982700,893.0
-39.8948100,175.9982800,894.0
-39.8948600,175.9982900,896.0
-39.8949000,175.9982900,897.0
-39.8949600,175.9982900,899.0
-39.8950200,175.9982800,901.0
-39.8950700,175.9982800,903.0
-39.8951100,175.9983000,906.0
-39.8951400,175.9983600,908.0
-39.8951900,175.9983800,911.0
-39.8952400,175.9983900,913.0
-39.8952900,175.9983900,915.0
-39.8953300,175.9983900,916.0
-39.8953700,175.9983900,917.0
-39.8954900,175.9985400,924.0
-39.8955300,175.9985600,926.0
-39.8955800,175.9986000,927.0
-39.8956300,175.9986300,928.0
-39.8956900,175.9986900,930.0
-39.8957300,175.9987200,931.0
-39.8957700,175.9987400,932.0
-39.8958200,175.9987500,933.0
-39.8958800,175.9987500,934.0
-39.8958900,175.9987500,934.0
-39.8960300,175.9988500,943.0
-39.8960900,175.9988600,945.0
-39.8961400,175.9988800,948.0
-39.8962300,175.9989300,952.0
-39.8963100,175.9989800,956.0
-39.8963600,175.9990100,958.0
-39.8963900,175.9990500,961.0
-39.8964400,175.9991000,963.0
-39.8964800,175.9991400,965.0
-39.8965200,175.9991800,967.0
-39.8965600,175.9992300,969.0
-39.8966000,175.9992700,970.0
-39.8966300,175.9993200,972.0
-39.8966700,175.9993700,974.0
-39.8967000,175.9994200,975.0
-39.8967300,175.9994600,977.0
-39.8967800,175.9994900,978.0
-39.8967800,175.9995000,978.0
-39.8968700,175.9996000,982.0
-39.8969200,175.9996300,983.0
-39.8969500,175.9996800,985.0
-39.8969800,175.9997400,987.0
-39.8970200,175.9998000,987.0
-39.8970500,175.9998500,988.0
-39.8970800,175.9998900,988.0
-39.8971100,175.9999400,988.0
-39.8971200,176.0000100,991.0
-39.8971300,176.0000800,992.0
-39.8971200,176.0001400,995.0
-39.8971000,176.0002000,998.0
-39.8970700,176.0002500,1000.0
