Latitude,Longitude,Elevation
-39.6954200,176.9017100,228.0
-39.6954300,176.9017500,229.0
-39.6954600,176.9018000,229.0
-39.6955000,176.9018400,230.0
-39.6955400,176.9018500,230.0
-39.6955900,176.9018400,230.0
-39.6956400,176.9018200,229.0
-39.6956900,176.9018000,228.0
-39.6957400,176.9018000,227.0
-39.6957800,176.9018100,227.0
-39.6958200,176.9018500,228.0
-39.6958500,176.9019000,229.0
-39.6958800,176.9019500,229.0
-39.6959100,176.9019900,231.0
-39.6959500,176.9020400,232.0
-39.6959800,176.9020900,234.0
-39.6960000,176.9021600,236.0
-39.6960100,176.9022300,238.0
-39.6960300,176.9022900,240.0
-39.6960600,176.9023400,241.0
-39.6960800,176.9024000,243.0
-39.6960800,176.9024600,244.0
-39.6961300,176.9024700,245.0
-39.6961800,176.9024700,244.0
-39.6962200,176.9024700,244.0
-39.6962700,176.9024700,243.0
-39.6963200,176.9024700,243.0
-39.6963700,176.9024700,243.0
-39.6964100,176.9024700,242.0
-39.6964600,176.9024700,241.0
-39.6965100,176.9024900,241.0
-39.6965300,176.9025400,242.0
-39.6965100,176.9026000,243.0
-39.6964800,176.9026500,244.0
-39.6964600,176.9027000,244.0
-39.6964200,176.9027500,246.0
-39.6964000,176.9028000,246.0
-39.6963700,176.9028500,247.0
-39.6963600,176.9029100,247.0
-39.6963700,176.9029700,247.0
-39.6963900,176.9030300,247.0
-39.6964000,176.9030900,248.0
-39.6964100,176.9031600,248.0
-39.6964100,176.9032200,249.0
-39.6964000,176.9032800,249.0
-39.6963900,176.9033400,250.0
-39.6963700,176.9034000,251.0
-39.6963800,176.9034600,251.0
-39.6964100,176.9035100,252.0
-39.6964400,176.9035800,253.0
-39.6964600,176.9036600,255.0
-39.6964800,176.9037200,256.0
-39.6964900,176.9037800,258.0
-39.6964900,176.9038400,259.0
-39.6965000,176.9039000,261.0
-39.6965300,176.9039500,262.0
-39.6965700,176.9040100,263.0
-39.6966100,176.9040700,264.0
-39.6966300,176.9041300,266.0
-39.6966500,176.9041800,267.0
-39.6966600,176.9042400,268.0
-39.6966700,176.9043100,269.0
-39.6966900,176.9043700,270.0
-39.6967100,176.9044300,271.0
-39.6967500,176.9044600,272.0
-39.6968000,176.9044800,272.0
-39.6968500,176.9044600,272.0
-39.6968700,176.9044100,272.0
-39.6968900,176.9043600,271.0
-39.6969100,176.9042900,270.0
-39.6969300,176.9042300,269.0
-39.6969400,176.9041600,268.0
-39.6969700,176.9041100,268.0
-39.6970000,176.9040600,267.0
-39.6970300,176.9040300,267.0
-39.6971100,176.9040200,267.0
-39.6971500,176.9040100,267.0
-39.6972000,176.9040100,268.0
-39.6972500,176.9040200,268.0
-39.6972900,176.9040500,268.0
-39.6973300,176.9040900,268.0
-39.6973800,176.9041200,267.0
-39.6974300,176.9041200,267.0
-39.6974800,176.9041200,267.0
-39.6975300,176.9041000,266.0
-39.6975900,176.9040300,265.0
-39.6976200,176.9039900,264.0
-39.6976600,176.9039400,264.0
-39.6976900,176.9038900,263.0
-39.6977400,176.9038600,262.0
-39.6977800,176.9038100,261.0
-39.6978100,176.9037700,259.0
-39.6978400,176.9037000,257.0
-39.6978700,176.9036500,256.0
-39.6979200,176.9035800,253.0
-39.6979500,176.9035400,251.0
-39.6980000,176.9035200,248.0
-39.6980400,176.9035700,247.0
-39.6980600,176.9036300,247.0
-39.6980600,176.9036900,248.0
-39.6980400,176.9037500,249.0
-39.6980300,176.9038200,250.0
-39.6980000,176.9038800,251.0
-39.6979700,176.9039300,252.0
-39.6979400,176.9039800,253.0
-39.6979200,176.9040300,254.0
-39.6978800,176.9041100,255.0
-39.6978500,176.9041600,255.0
-39.6978200,176.9042100,256.0
-39.6977900,176.9042500,257.0
-39.6977600,176.9043000,258.0
-39.6977300,176.9043500,259.0
-39.6977000,176.9044000,260.0
-39.6976900,176.9044800,260.0
-39.6976800,176.9045500,262.0
-39.6976900,176.9046100,262.0
-39.6977100,176.9046600,262.0
-39.6977200,176.9047200,263.0
-39.6977200,176.9047800,264.0
-39.6977400,176.9048400,266.0
-39.6977800,176.9048800,265.0
-39.6978200,176.9049100,265.0
-39.6978500,176.9049600,265.0
-39.6978500,176.9049800,266.0
-39.6978200,176.9050300,268.0
-39.6977700,176.9050500,270.0
-39.6977300,176.9050600,272.0
-39.6976800,176.9050400,273.0
-39.6976300,176.9050200,275.0
-39.6975800,176.9050200,277.0
-39.6975400,176.9050200,278.0
-39.6975500,176.9050800,279.0
-39.6975900,176.9051200,278.0
-39.6976300,176.9051600,277.0
-39.6976500,176.9052100,277.0
-39.6976600,176.9052800,278.0
-39.6976300,176.9053300,279.0
-39.6976000,176.9053800,280.0
-39.6975700,176.9054300,281.0
-39.6975300,176.9054600,282.0
-39.6974800,176.9055000,283.0
-39.6974400,176.9055300,282.0
-39.6974000,176.9055600,282.0
-39.6973600,176.9056100,282.0
-39.6973100,176.9056700,281.0
-39.6972700,176.9057100,281.0
-39.6972300,176.9057600,281.0
-39.6972000,176.9058000,282.0
-39.6971700,176.9058500,282.0
-39.6971500,176.9059200,283.0
-39.6971400,176.9059900,283.0
-39.6971200,176.9060600,284.0
-39.6971200,176.9061200,285.0
-39.6970900,176.9062200,286.0
-39.6970700,176.9062900,287.0
-39.6970400,176.9063300,288.0
-39.6970000,176.9063800,290.0
-39.6969500,176.9064300,292.0
-39.6969100,176.9064700,293.0
-39.6968800,176.9065100,295.0
-39.6968500,176.9065600,296.0
-39.6968100,176.9066000,297.0
-39.6967800,176.9066500,298.0
-39.6967700,176.9067100,300.0
-39.6967400,176.9067600,301.0
-39.6966900,176.9068100,302.0
-39.6966500,176.9068500,303.0
-39.6966100,176.9068900,304.0
-39.6965600,176.9069100,304.0
-39.6965200,176.9069600,305.0
-39.6964900,176.9070100,306.0
-39.6964700,176.9070700,307.0
-39.6964700,176.9071300,307.0
-39.6964700,176.9072100,308.0
-39.6964700,176.9072900,309.0
-39.6964600,176.9073600,309.0
-39.6964500,176.9074300,309.0
-39.6964400,176.9074800,310.0
-39.6964600,176.9075500,310.0
-39.6964400,176.9076200,311.0
-39.6964400,176.9076800,311.0
-39.6964200,176.9077500,312.0
-39.6964000,176.9078000,312.0
-39.6963900,176.9078600,313.0
-39.6963800,176.9079000,313.0
-39.6963700,176.9079800,314.0
-39.6963400,176.9080400,315.0
-39.6963200,176.9081000,315.0
-39.6963100,176.9081600,316.0
-39.6963100,176.9082200,316.0
-39.6963100,176.9082800,316.0
-39.6963200,176.9083400,316.0
-39.6963400,176.9083900,315.0
-39.6963700,176.9084400,315.0
-39.6964200,176.9084700,314.0
-39.6964700,176.9084900,314.0
-39.6965100,176.9085100,314.0
-39.6965600,176.9085400,314.0
-39.6966000,176.9085700,314.0
-39.6966400,176.9086000,314.0
-39.6966900,176.9086300,313.0
-39.6967400,176.9086500,313.0
-39.6967900,176.9086400,312.0
-39.6968400,176.9086000,313.0
-39.6968900,176.9085700,312.0
-39.6969400,176.9085400,312.0
-39.6969900,176.9085100,312.0
-39.6970300,176.9084800,312.0
-39.6970700,176.9084500,312.0
-39.6971200,176.9084300,312.0
-39.6971700,176.9084100,313.0
-39.6972300,176.9084100,313.0
-39.6972800,176.9084100,315.0
-39.6973200,176.9084100,315.0
