Latitude,Longitude,Elevation
-41.1592000,174.9697200,49.0
-41.1592100,174.9697200,49.0
-41.1592500,174.9697600,50.0
-41.1592900,174.9698000,50.0
-41.1593000,174.9698100,50.0
-41.1593400,174.9698400,50.0
-41.1593900,174.9698400,51.0
-41.1594000,174.9698400,52.0
-41.1593700,174.9697700,52.0
-41.1593900,174.9697100,53.0
-41.1593800,174.9696400,54.0
-41.1593800,174.9695800,54.0
-41.1594200,174.9695700,55.0
-41.1594400,174.9696100,55.0
-41.1594600,174.9696500,55.0
-41.1594600,174.9696100,56.0
-41.1594500,174.9695500,56.0
-41.1594400,174.9695000,56.0
-41.1594200,174.9694500,56.0
-41.1594100,174.9694000,56.0
-41.1594000,174.9693600,56.0
-41.1594100,174.9693200,56.0
-41.1594200,174.9692800,57.0
-41.1594300,174.9692300,58.0
-41.1594400,174.9691800,58.0
-41.1594600,174.9691300,59.0
-41.1594800,174.9690800,61.0
-41.1595100,174.9690300,63.0
-41.1595300,174.9689800,64.0
-41.1595500,174.9689300,65.0
-41.1595800,174.9689000,67.0
-41.1596000,174.9688600,67.0
-41.1596300,174.9688200,68.0
-41.1596500,174.9687700,68.0
-41.1596700,174.9687300,68.0
-41.1596900,174.9686900,68.0
-41.1597100,174.9686400,68.0
-41.1597300,174.9685900,68.0
-41.1597500,174.9685500,68.0
-41.1597800,174.9685200,69.0
-41.1598200,174.9684900,71.0
-41.1598500,174.9684700,72.0
-41.1598900,174.9684500,73.0
-41.1599200,174.9684400,75.0
-41.1599600,174.9684200,76.0
-41.1600000,174.9683900,77.0
-41.1600300,174.9683600,77.0
-41.1600600,174.9683400,78.0
-41.1600900,174.9683100,80.0
-41.1601300,174.9682800,81.0
-41.1601600,174.9682600,83.0
-41.1601900,174.9682300,84.0
-41.1602200,174.9681900,85.0
-41.1602500,174.9681600,86.0
-41.1602700,174.9681200,86.0
-41.1602900,174.9680800,86.0
-41.1603100,174.9680300,86.0
-41.1603300,174.9679900,87.0
-41.1603600,174.9679500,88.0
-41.1603800,174.9679100,89.0
-41.1603900,174.9678600,89.0
-41.1604000,174.9678000,90.0
-41.1604200,174.9677400,92.0
-41.1604300,174.9676900,93.0
-41.1604300,174.9676400,95.0
-41.1604300,174.9675900,96.0
-41.1604200,174.9675400,96.0
-41.1604200,174.9674900,97.0
-41.1604100,174.9674400,98.0
-41.1604100,174.9673800,99.0
-41.1604000,174.9673400,99.0
-41.1603900,174.9672900,100.0
-41.1603900,174.9672400,101.0
-41.1603900,174.9671900,101.0
-41.1603800,174.9671500,101.0
-41.1603600,174.9671000,100.0
-41.1603500,174.9670600,100.0
-41.1603400,174.9670100,100.0
-41.1603300,174.9669700,100.0
-41.1603200,174.9669300,100.0
-41.1603000,174.9668800,100.0
-41.1602900,174.9668400,99.0
-41.1602800,174.9667900,100.0
-41.1602700,174.9667500,100.0
-41.1602600,174.9666900,101.0
-41.1602400,174.9666400,101.0
-41.1602300,174.9666000,102.0
-41.1602200,174.9665500,103.0
-41.1602200,174.9664900,105.0
-41.1602100,174.9664500,107.0
-41.1602000,174.9664000,108.0
-41.1602000,174.9663500,109.0
-41.1602000,174.9662900,112.0
-41.1601900,174.9662400,113.0
-41.1601800,174.9661800,114.0
-41.1601500,174.9661300,115.0
-41.1601100,174.9660800,114.0
-41.1600800,174.9660300,114.0
-41.1600300,174.9660000,112.0
-41.1599900,174.9659800,111.0
-41.1599500,174.9659600,110.0
-41.1599100,174.9659400,110.0
-41.1598800,174.9659100,110.0
-41.1598300,174.9659000,109.0
-41.1597800,174.9658900,108.0
-41.1597400,174.9658700,107.0
-41.1596900,174.9658500,107.0
-41.1596500,174.9658300,107.0
-41.1596200,174.9658100,108.0
-41.1595900,174.9657700,109.0
-41.1595500,174.9657300,111.0
-41.1595300,174.9656800,112.0
-41.1595000,174.9656400,115.0
-41.1594600,174.9656100,116.0
-41.1594200,174.9655800,117.0
-41.1593800,174.9655700,117.0
-41.1593300,174.9655600,118.0
-41.1593000,174.9655700,117.0
-41.1592600,174.9655900,116.0
-41.1592300,174.9656100,115.0
-41.1591900,174.9656400,114.0
-41.1591600,174.9656600,113.0
-41.1591200,174.9656700,113.0
-41.1590800,174.9656700,113.0
-41.1590400,174.9656700,113.0
