Latitude,Longitude,Elevation
-39.2035600,175.5402300,1146.0
-39.2035400,175.5401700,1145.0
-39.2035200,175.5401300,1145.0
-39.2034900,175.5400800,1145.0
-39.2034700,175.5400300,1145.0
-39.2034500,175.5400000,1144.0
-39.2034500,175.5399300,1144.0
-39.2034300,175.5398700,1144.0
-39.2034300,175.5398100,1143.0
-39.2034300,175.5397500,1143.0
-39.2034300,175.5396800,1143.0
-39.2034200,175.5396200,1143.0
-39.2034100,175.5396000,1143.0
-39.2034100,175.5395900,1143.0
-39.2033900,175.5395400,1143.0
-39.2033400,175.5395300,1143.0
-39.2032900,175.5395100,1142.0
-39.2032400,175.5394800,1142.0
-39.2032000,175.5394500,1141.0
-39.2031800,175.5393900,1141.0
-39.2031700,175.5393800,1141.0
-39.2031400,175.5393400,1140.0
-39.2030900,175.5393200,1140.0
-39.2030500,175.5393000,1139.0
-39.2030200,175.5392700,1139.0
-39.2030100,175.5392700,1139.0
-39.2029700,175.5392400,1139.0
-39.2029300,175.5392100,1138.0
-39.2029100,175.5391700,1138.0
-39.2027900,175.5389900,1137.0
-39.2026500,175.5388000,1137.0
-39.2025100,175.5385900,1136.0
-39.2023500,175.5383700,1135.0
-39.2022200,175.5382300,1134.0
-39.2020700,175.5381500,1133.0
-39.2020400,175.5381100,1133.0
-39.2020100,175.5380600,1132.0
-39.2020300,175.5380000,1132.0
-39.2021100,175.5379000,1133.0
-39.2021700,175.5376700,1133.0
-39.2022200,175.5374900,1133.0
-39.2022300,175.5374600,1134.0
-39.2022200,175.5374500,1133.0
-39.2022400,175.5374000,1134.0
-39.2022600,175.5373400,1134.0
-39.2022700,175.5372900,1134.0
-39.2022800,175.5372800,1134.0
-39.2022900,175.5372100,1134.0
-39.2023100,175.5371500,1134.0
-39.2023200,175.5371300,1134.0
-39.2023200,175.5371200,1134.0
-39.2023500,175.5370700,1134.0
-39.2023800,175.5370300,1134.0
-39.2024200,175.5370100,1134.0
-39.2024300,175.5370100,1134.0
-39.2024700,175.5369600,1134.0
-39.2025000,175.5369300,1134.0
-39.2025500,175.5369000,1135.0
-39.2025800,175.5368500,1135.0
-39.2025800,175.5368400,1135.0
-39.2026200,175.5368000,1136.0
-39.2026700,175.5367800,1136.0
-39.2026800,175.5367600,1136.0
-39.2026900,175.5367500,1136.0
-39.2027400,175.5367200,1136.0
-39.2027800,175.5366900,1137.0
-39.2028200,175.5366700,1137.0
-39.2028400,175.5366600,1137.0
-39.2028500,175.5366500,1138.0
-39.2028800,175.5366200,1138.0
-39.2029000,175.5366000,1138.0
