Latitude,Longitude,Elevation
-39.7973500,176.2017400,621.0
-39.7973600,176.2017300,621.0
-39.7971800,176.2017600,620.0
-39.7969900,176.2017000,622.0
-39.7968700,176.2016600,624.0
-39.7967500,176.2016900,623.0
-39.7966500,176.2016300,624.0
-39.7965600,176.2014700,623.0
-39.7965500,176.2014000,624.0
-39.7965300,176.2012000,626.0
-39.7965100,176.2009200,630.0
-39.7965700,176.2007300,634.0
-39.7966300,176.2004800,640.0
-39.7966500,176.2003900,642.0
-39.7966700,176.1999300,648.0
-39.7967100,176.1998000,652.0
-39.7967100,176.1997900,652.0
-39.7967300,176.1997300,654.0
-39.7967500,176.1996700,655.0
-39.7967600,176.1996400,656.0
-39.7967600,176.1996300,656.0
-39.7967800,176.1995700,658.0
-39.7967900,176.1995300,659.0
-39.7967900,176.1995200,659.0
-39.7967900,176.1994600,661.0
-39.7967700,176.1994000,662.0
-39.7967400,176.1993500,663.0
-39.7966900,176.1993300,664.0
-39.7966500,176.1993200,664.0
-39.7966000,176.1993200,665.0
-39.7965500,176.1993200,666.0
-39.7965000,176.1993300,667.0
-39.7964500,176.1993500,667.0
-39.7964100,176.1993900,667.0
-39.7963900,176.1993900,668.0
-39.7963500,176.1994200,668.0
-39.7963000,176.1994400,668.0
-39.7962600,176.1994800,668.0
-39.7962200,176.1995200,667.0
-39.7961900,176.1995800,665.0
-39.7961400,176.1996300,665.0
-39.7961100,176.1996700,664.0
-39.7960700,176.1997100,663.0
-39.7960400,176.1997600,661.0
-39.7959900,176.1998100,659.0
-39.7959600,176.1998400,658.0
-39.7959200,176.1998700,657.0
-39.7958700,176.1999100,657.0
-39.7958200,176.1999400,656.0
-39.7957800,176.1999700,655.0
-39.7957400,176.2000000,654.0
-39.7956900,176.2000200,654.0
-39.7956500,176.2000400,654.0
-39.7956400,176.2000400,654.0
-39.7956200,176.2000500,654.0
-39.7955500,176.2000500,655.0
-39.7955000,176.2000500,655.0
-39.7954500,176.2000600,655.0
-39.7953900,176.2000700,656.0
-39.7953400,176.2000800,656.0
-39.7952900,176.2000800,657.0
-39.7952400,176.2000900,656.0
-39.7952100,176.2000800,656.0
-39.7951600,176.2000600,657.0
-39.7951000,176.2000500,657.0
-39.7950400,176.2000400,657.0
-39.7949700,176.2000100,657.0
-39.7949200,176.2000100,657.0
-39.7948700,176.2000000,657.0
-39.7948300,176.1999800,656.0
-39.7947800,176.1999700,656.0
-39.7947400,176.1999400,656.0
-39.7946900,176.1999100,656.0
-39.7946600,176.1998900,655.0
-39.7946500,176.1998900,655.0
-39.7945900,176.1998800,654.0
-39.7945400,176.1998800,653.0
-39.7945000,176.1998900,652.0
-39.7944500,176.1998600,652.0
-39.7944100,176.1998100,651.0
-39.7943900,176.1997600,650.0
-39.7943700,176.1997000,650.0
-39.7943700,176.1996400,649.0
-39.7943600,176.1996200,649.0
-39.7943500,176.1995900,649.0
-39.7943400,176.1995300,648.0
-39.7943100,176.1994800,647.0
-39.7943000,176.1994200,647.0
-39.7942800,176.1993700,646.0
-39.7942800,176.1993600,646.0
-39.7942700,176.1993100,646.0
-39.7942400,176.1992400,645.0
-39.7942200,176.1991800,645.0
-39.7941900,176.1991200,645.0
-39.7941600,176.1990700,645.0
-39.7941300,176.1990200,645.0
-39.7941100,176.1989500,645.0
-39.7941200,176.1988900,645.0
-39.7941100,176.1988200,645.0
-39.7941100,176.1987600,645.0
-39.7941100,176.1987300,645.0
-39.7941000,176.1987200,645.0
-39.7940700,176.1986500,645.0
-39.7940500,176.1986000,645.0
-39.7940400,176.1985700,645.0
-39.7940200,176.1985100,645.0
-39.7940000,176.1984500,645.0
-39.7939900,176.1983900,645.0
-39.7939900,176.1983600,645.0
-39.7939700,176.1982800,644.0
-39.7939600,176.1982200,644.0
-39.7939500,176.1981600,644.0
-39.7939300,176.1981300,644.0
-39.7939300,176.1981200,644.0
-39.7939300,176.1980600,643.0
-39.7939200,176.1979900,643.0
-39.7939100,176.1979300,642.0
-39.7939100,176.1979000,642.0
-39.7939100,176.1978900,642.0
-39.7939100,176.1978200,642.0
-39.7939100,176.1977600,641.0
-39.7939200,176.1977000,640.0
-39.7939300,176.1976800,640.0
-39.7939300,176.1976700,640.0
-39.7939300,176.1976100,639.0
-39.7939600,176.1975500,638.0
-39.7939800,176.1975100,637.0
-39.7939800,176.1975000,637.0
-39.7939800,176.1974300,637.0
-39.7939900,176.1973800,636.0
-39.7940000,176.1973200,636.0
-39.7940200,176.1972900,636.0
-39.7940200,176.1972800,636.0
-39.7940300,176.1972200,635.0
