Latitude,Longitude,Elevation
-40.8718100,175.2304100,98.0
-40.8720300,175.2310800,100.0
-40.8720700,175.2311700,101.0
-40.8721100,175.2312200,101.0
-40.8725100,175.2314600,101.0
-40.8725500,175.2315400,102.0
-40.8725500,175.2316200,103.0
-40.8725400,175.2316900,104.0
-40.8725100,175.2317900,105.0
-40.8724500,175.2318300,107.0
-40.8719300,175.2319900,117.0
-40.8715700,175.2318600,116.0
-40.8713200,175.2317100,113.0
-40.8712500,175.2317100,112.0
-40.8712200,175.2317600,112.0
-40.8712000,175.2318800,113.0
-40.8712700,175.2323400,121.0
-40.8712900,175.2326700,125.0
-40.8713300,175.2329900,127.0
-40.8713400,175.2331500,128.0
-40.8712900,175.2333100,126.0
-40.8712500,175.2334500,124.0
-40.8712900,175.2337800,126.0
-40.8712500,175.2340300,127.0
-40.8712400,175.2342600,130.0
-40.8713300,175.2344300,132.0
-40.8714800,175.2345800,131.0
-40.8717000,175.2346200,132.0
-40.8719800,175.2345400,138.0
-40.8722500,175.2343900,143.0
-40.8725900,175.2344800,144.0
-40.8729900,175.2344400,148.0
-40.8732200,175.2345000,151.0
-40.8733400,175.2344700,153.0
-40.8738000,175.2346200,154.0
-40.8744600,175.2349000,158.0
-40.8744900,175.2349400,158.0
-40.8745300,175.2349500,158.0
-40.8745900,175.2349900,158.0
-40.8747200,175.2349200,158.0
-40.8748100,175.2348300,159.0
-40.8749700,175.2347600,163.0
-40.8751700,175.2347100,167.0
-40.8753500,175.2348000,171.0
-40.8754800,175.2348200,172.0
-40.8755600,175.2348100,172.0
-40.8754900,175.2347100,171.0
-40.8755000,175.2346800,171.0
-40.8756200,175.2347100,172.0
-40.8757700,175.2346900,174.0
-40.8760200,175.2346100,177.0
-40.8760500,175.2345700,177.0
-40.8762200,175.2346400,182.0
-40.8764200,175.2346200,187.0
-40.8765700,175.2347100,192.0
-40.8767100,175.2348900,197.0
-40.8768000,175.2349900,202.0
-40.8769500,175.2351000,208.0
-40.8770700,175.2351800,213.0
-40.8772000,175.2352900,219.0
-40.8773500,175.2355200,227.0
-40.8773600,175.2355800,228.0
-40.8773300,175.2356400,227.0
-40.8772600,175.2356600,224.0
-40.8771600,175.2356800,219.0
-40.8771300,175.2357300,218.0
-40.8771100,175.2358100,218.0
-40.8771300,175.2358300,219.0
-40.8773700,175.2358000,232.0
-40.8775100,175.2357800,238.0
-40.8777000,175.2356600,244.0
-40.8777400,175.2354100,243.0
-40.8776100,175.2352400,238.0
-40.8775800,175.2351300,237.0
-40.8776400,175.2350900,240.0
-40.8778100,175.2351500,247.0
-40.8778400,175.2350800,249.0
-40.8778200,175.2349900,249.0
-40.8777800,175.2349000,248.0
-40.8777800,175.2347800,248.0
-40.8778200,175.2347100,250.0
-40.8779600,175.2346300,253.0
-40.8781800,175.2345800,261.0
-40.8783200,175.2344500,265.0
-40.8783800,175.2343600,266.0
-40.8783700,175.2342500,264.0
-40.8784200,175.2341600,265.0
-40.8785700,175.2340800,269.0
-40.8786600,175.2341600,274.0
-40.8788000,175.2341700,279.0
-40.8788500,175.2341100,279.0
-40.8788600,175.2341500,280.0
-40.8788500,175.2342500,282.0
-40.8788200,175.2343400,283.0
-40.8788300,175.2346300,290.0
-40.8787600,175.2349300,291.0
-40.8787800,175.2352100,295.0
-40.8789900,175.2354800,305.0
-40.8790600,175.2357700,308.0
-40.8791700,175.2360400,313.0
-40.8792600,175.2362200,314.0
-40.8793900,175.2362600,316.0
-40.8797200,175.2360600,328.0
-40.8796600,175.2359400,329.0
-40.8799700,175.2359700,338.0
-40.8800500,175.2360600,339.0
-40.8800700,175.2360500,339.0
-40.8800800,175.2359900,340.0
-40.8800300,175.2359000,342.0
-40.8801700,175.2358800,344.0
-40.8803800,175.2359000,346.0
-40.8805000,175.2357700,349.0
-40.8806900,175.2354300,353.0
-40.8808600,175.2352400,356.0
-40.8814400,175.2351200,365.0
-40.8816500,175.2351600,366.0
-40.8819600,175.2353500,369.0
-40.8820400,175.2354700,370.0
-40.8821700,175.2355200,374.0
-40.8823300,175.2355400,379.0
-40.8824200,175.2357500,381.0
-40.8825500,175.2359300,384.0
-40.8827600,175.2360700,388.0
-40.8834200,175.2357800,404.0
-40.8835600,175.2356300,406.0
-40.8837100,175.2355900,411.0
-40.8838500,175.2356800,417.0
-40.8840500,175.2357100,421.0
-40.8842800,175.2357900,425.0
-40.8844800,175.2358300,427.0
-40.8847000,175.2357700,431.0
-40.8848700,175.2358500,433.0
-40.8850300,175.2360800,435.0
-40.8851700,175.2362100,438.0
-40.8853000,175.2362100,439.0
-40.8854000,175.2362800,441.0
-40.8854600,175.2365700,445.0
-40.8856000,175.2368400,450.0
-40.8859700,175.2371200,452.0
-40.8861200,175.2372600,451.0
-40.8864800,175.2371500,449.0
-40.8866100,175.2370300,448.0
-40.8867300,175.2370500,449.0
-40.8868900,175.2369600,451.0
-40.8870700,175.2369700,455.0
-40.8873100,175.2368100,460.0
-40.8875300,175.2369100,463.0
-40.8876800,175.2368200,466.0
-40.8879900,175.2367100,472.0
-40.8881300,175.2367500,475.0
-40.8883000,175.2369100,481.0
-40.8886200,175.2370300,490.0
-40.8888200,175.2370700,493.0
-40.8891300,175.2372900,495.0
-40.8892500,175.2372800,496.0
-40.8893400,175.2373400,496.0
-40.8897000,175.2373000,497.0
-40.8900000,175.2372200,501.0
-40.8901900,175.2372100,502.0
-40.8904000,175.2371500,501.0
-40.8905400,175.2371700,501.0
-40.8906400,175.2371500,501.0
-40.8907900,175.2369900,501.0
-40.8910600,175.2368900,504.0
-40.8913000,175.2367100,507.0
-40.8915600,175.2364900,512.0
-40.8918200,175.2364700,517.0
-40.8919600,175.2362300,524.0
-40.8923400,175.2361100,528.0
-40.8926300,175.2361600,533.0
-40.8930500,175.2362100,539.0
-40.8932900,175.2361400,549.0
-40.8933200,175.2362700,550.0
-40.8935500,175.2361100,561.0
-40.8937500,175.2361100,568.0
-40.8938600,175.2361300,572.0
-40.8942700,175.2361100,582.0
-40.8944700,175.2361700,585.0
-40.8946700,175.2361700,585.0
-40.8949500,175.2366700,589.0
-40.8952000,175.2373900,595.0
-40.8955700,175.2382000,598.0
-40.8957400,175.2386000,606.0
-40.8960900,175.2394700,630.0
-40.8960500,175.2399700,632.0
-40.8962000,175.2402900,633.0
-40.8964300,175.2410700,636.0
-40.8966800,175.2415200,638.0
-40.8967400,175.2418700,636.0
-40.8970200,175.2423200,639.0
-40.8970800,175.2429500,647.0
-40.8971900,175.2433000,655.0
-40.8973400,175.2435600,658.0
-40.8977300,175.2438600,666.0
-40.8979900,175.2440000,673.0
-40.8988100,175.2441400,684.0
-40.8989500,175.2443200,689.0
-40.8991700,175.2446000,692.0
-40.8993900,175.2446000,697.0
-40.8995900,175.2445500,702.0
-40.8997800,175.2445800,706.0
-40.9001000,175.2447800,711.0
-40.9003700,175.2451400,717.0
-40.9008000,175.2453300,724.0
-40.9012900,175.2458400,731.0
-40.9017300,175.2463200,734.0
-40.9020800,175.2465500,741.0
-40.9022100,175.2469100,749.0
-40.9025700,175.2470800,760.0
-40.9028400,175.2474600,774.0
-40.9030300,175.2476300,781.0
-40.9032200,175.2478200,787.0
-40.9032100,175.2482600,802.0
-40.9031800,175.2486500,813.0
-40.9030200,175.2491300,823.0
-40.9029700,175.2493900,827.0
-40.9031300,175.2495800,831.0
-40.9032000,175.2497300,833.0
-40.9033400,175.2501500,844.0
-40.9032700,175.2507200,847.0
-40.9032900,175.2509600,846.0
-40.9035500,175.2513100,839.0
-40.9037200,175.2515500,834.0
-40.9038300,175.2518000,835.0
-40.9039500,175.2519400,835.0
-40.9041300,175.2523700,834.0
-40.9043100,175.2525800,829.0
-40.9046100,175.2527900,827.0
-40.9047800,175.2529200,827.0
-40.9048600,175.2529800,828.0
-40.9049600,175.2531300,830.0
-40.9050300,175.2534900,830.0
-40.9052200,175.2537200,826.0
-40.9052500,175.2539600,824.0
-40.9054100,175.2543200,822.0
-40.9054900,175.2545300,822.0
-40.9056800,175.2546600,827.0
-40.9059100,175.2546700,835.0
-40.9060600,175.2548100,841.0
-40.9062200,175.2548600,847.0
-40.9065000,175.2551500,855.0
-40.9070600,175.2554300,860.0
-40.9073800,175.2557200,861.0
-40.9074600,175.2559400,859.0
-40.9076900,175.2561600,859.0
-40.9078700,175.2561300,859.0
-40.9079900,175.2562700,863.0
-40.9080100,175.2564400,868.0
-40.9080700,175.2565500,873.0
-40.9082300,175.2566300,880.0
-40.9082000,175.2568400,885.0
-40.9083300,175.2569900,895.0
-40.9084300,175.2571100,899.0
-40.9084900,175.2572600,903.0
-40.9085100,175.2574500,907.0
-40.9085700,175.2576500,911.0
-40.9087400,175.2577300,914.0
-40.9087600,175.2578100,915.0
-40.9088200,175.2578400,916.0
-40.9088500,175.2579400,917.0
-40.9088500,175.2580500,919.0
-40.9089000,175.2580900,920.0
-40.9089100,175.2581400,920.0
-40.9089000,175.2582000,921.0
-40.9089900,175.2583200,921.0
-40.9091200,175.2585500,924.0
-40.9091300,175.2586900,925.0
-40.9091900,175.2587400,926.0
-40.9092200,175.2588400,927.0
-40.9092900,175.2589100,927.0
-40.9093600,175.2589400,926.0
-40.9094000,175.2590300,927.0
-40.9094800,175.2591200,929.0
-40.9095300,175.2592700,931.0
-40.9096000,175.2592900,931.0
-40.9096100,175.2593100,932.0
-40.9095600,175.2593600,932.0
-40.9095600,175.2594300,934.0
-40.9095900,175.2594800,935.0
-40.9095900,175.2595700,937.0
-40.9096200,175.2596200,939.0
-40.9098200,175.2598100,948.0
-40.9098900,175.2598300,949.0
-40.9098800,175.2598700,951.0
-40.9098800,175.2599200,952.0
-40.9099400,175.2599700,954.0
-40.9100300,175.2600300,956.0
-40.9101100,175.2602100,960.0
-40.9101000,175.2603500,963.0
-40.9100500,175.2604000,963.0
-40.9100700,175.2604700,964.0
-40.9101700,175.2604900,965.0
-40.9102800,175.2606400,970.0
-40.9104300,175.2609600,982.0
-40.9103800,175.2611400,986.0
-40.9104400,175.2611800,992.0
-40.9106400,175.2610200,993.0
-40.9109000,175.2609000,992.0
-40.9110900,175.2610100,997.0
-40.9111700,175.2611900,1003.0
-40.9112900,175.2614500,1011.0
-40.9113600,175.2615500,1014.0
-40.9115900,175.2617200,1015.0
-40.9116600,175.2616800,1011.0
-40.9117800,175.2618100,1015.0
-40.9119000,175.2618300,1012.0
-40.9120100,175.2619000,1012.0
-40.9120000,175.2624000,1025.0
-40.9120900,175.2625700,1024.0
-40.9121000,175.2625900,1023.0
-40.9123100,175.2628300,1020.0
-40.9125000,175.2629300,1017.0
-40.9126200,175.2629500,1017.0
-40.9128300,175.2630000,1016.0
-40.9130900,175.2630400,1016.0
-40.9134200,175.2630300,1012.0
-40.9137200,175.2630600,1010.0
-40.9137900,175.2631300,1010.0
-40.9139600,175.2632100,1010.0
-40.9143500,175.2633900,1014.0
-40.9145200,175.2633900,1014.0
-40.9146100,175.2633600,1013.0
-40.9148900,175.2633600,1010.0
-40.9150500,175.2635000,1010.0
-40.9151100,175.2634900,1010.0
-40.9152600,175.2634000,1010.0
-40.9153600,175.2633900,1011.0
-40.9154300,175.2634100,1012.0
-40.9156000,175.2634000,1014.0
-40.9159200,175.2633800,1016.0
-40.9161100,175.2632900,1019.0
-40.9162200,175.2633000,1019.0
-40.9163600,175.2632300,1021.0
-40.9164900,175.2632900,1023.0
-40.9166100,175.2631800,1025.0
-40.9167800,175.2628600,1028.0
-40.9168100,175.2628500,1029.0
-40.9168300,175.2629300,1029.0
-40.9168900,175.2630100,1030.0
-40.9169300,175.2629700,1031.0
-40.9169700,175.2628600,1032.0
-40.9171900,175.2627200,1038.0
-40.9173500,175.2629000,1044.0
-40.9174500,175.2629500,1047.0
-40.9175400,175.2629700,1050.0
-40.9175600,175.2630600,1050.0
-40.9176700,175.2632500,1051.0
-40.9177700,175.2632400,1054.0
-40.9179100,175.2632300,1055.0
-40.9179800,175.2632500,1056.0
-40.9181800,175.2632500,1058.0
-40.9187200,175.2634900,1065.0
-40.9190400,175.2636300,1065.0
-40.9194900,175.2639500,1066.0
-40.9200000,175.2643400,1066.0
-40.9202000,175.2644700,1068.0
-40.9204300,175.2645300,1073.0
-40.9206600,175.2644100,1079.0
-40.9207300,175.2643200,1081.0
-40.9208700,175.2642700,1085.0
-40.9210600,175.2642700,1089.0
-40.9211900,175.2643800,1091.0
-40.9212900,175.2642900,1095.0
-40.9214000,175.2643600,1097.0
-40.9215200,175.2642900,1098.0
-40.9216400,175.2643800,1098.0
-40.9217300,175.2643700,1100.0
-40.9218900,175.2644900,1103.0
-40.9220400,175.2645600,1105.0
-40.9222300,175.2645100,1112.0
-40.9223900,175.2644300,1117.0
-40.9225800,175.2644800,1121.0
-40.9229000,175.2645300,1131.0
-40.9230400,175.2645700,1134.0
-40.9232800,175.2646900,1138.0
-40.9232700,175.2645700,1138.0
-40.9233000,175.2645600,1139.0
-40.9234800,175.2648000,1142.0
-40.9235600,175.2647800,1145.0
-40.9235700,175.2647000,1147.0
-40.9237300,175.2647300,1153.0
-40.9238300,175.2646600,1157.0
-40.9241700,175.2647200,1167.0
-40.9242700,175.2646700,1170.0
-40.9247200,175.2647100,1179.0
-40.9251900,175.2648700,1190.0
-40.9253100,175.2650500,1187.0
-40.9254800,175.2652400,1181.0
-40.9259100,175.2654400,1172.0
-40.9261000,175.2654200,1168.0
-40.9261800,175.2655000,1168.0
-40.9262100,175.2656300,1169.0
-40.9265200,175.2658800,1168.0
-40.9268100,175.2663500,1171.0
-40.9269700,175.2665700,1172.0
-40.9270400,175.2667300,1172.0
-40.9272400,175.2668500,1174.0
-40.9275100,175.2670000,1176.0
-40.9277500,175.2670000,1176.0
-40.9280200,175.2672000,1179.0
-40.9280900,175.2672000,1179.0
-40.9281300,175.2671400,1178.0
-40.9285600,175.2672200,1181.0
-40.9290300,175.2675100,1195.0
-40.9292600,175.2675500,1195.0
-40.9294300,175.2676800,1195.0
-40.9295200,175.2678900,1199.0
-40.9296600,175.2680100,1201.0
-40.9297700,175.2682500,1204.0
-40.9299100,175.2684100,1206.0
-40.9299800,175.2684700,1207.0
-40.9301100,175.2687000,1210.0
-40.9302800,175.2688600,1212.0
-40.9303700,175.2691600,1219.0
-40.9303300,175.2692400,1219.0
-40.9303600,175.2694500,1223.0
-40.9304200,175.2696100,1227.0
-40.9306500,175.2698200,1236.0
-40.9307700,175.2698600,1239.0
-40.9308000,175.2698100,1240.0
-40.9310500,175.2698900,1249.0
-40.9312300,175.2701700,1260.0
-40.9314000,175.2703500,1269.0
-40.9315600,175.2704200,1274.0
-40.9316200,175.2703700,1277.0
-40.9317200,175.2705200,1279.0
-40.9319200,175.2705800,1283.0
-40.9321100,175.2705600,1285.0
-40.9322600,175.2706200,1285.0
-40.9324800,175.2707900,1288.0
-40.9329700,175.2710500,1299.0
-40.9332000,175.2712400,1304.0
-40.9334600,175.2714000,1311.0
-40.9336600,175.2714700,1315.0
-40.9339500,175.2712900,1320.0
-40.9340300,175.2713000,1322.0
-40.9342200,175.2713600,1329.0
-40.9344300,175.2714500,1340.0
-40.9345600,175.2717200,1346.0
-40.9346700,175.2718700,1349.0
-40.9348600,175.2718700,1359.0
-40.9348900,175.2718300,1361.0
-40.9347500,175.2717100,1355.0
-40.9348600,175.2716200,1362.0
-40.9348800,175.2715600,1363.0
-40.9349900,175.2715000,1368.0
-40.9351000,175.2716200,1374.0
-40.9352000,175.2715300,1378.0
-40.9353200,175.2714500,1383.0
-40.9354600,175.2715200,1389.0
-40.9356900,175.2715400,1395.0
-40.9359900,175.2716600,1400.0
-40.9362500,175.2716400,1400.0
-40.9365800,175.2715600,1403.0
-40.9369000,175.2713500,1410.0
-40.9373400,175.2708600,1415.0
-40.9374500,175.2707400,1415.0
-40.9376300,175.2705900,1414.0
-40.9378700,175.2702900,1415.0
-40.9379200,175.2701800,1415.0
-40.9381200,175.2699500,1415.0
-40.9382600,175.2698800,1413.0
-40.9385100,175.2699500,1411.0
-40.9385600,175.2699400,1410.0
-40.9388300,175.2701400,1407.0
-40.9391300,175.2703800,1402.0
-40.9395200,175.2707000,1398.0
-40.9398600,175.2709700,1401.0
-40.9400600,175.2710200,1404.0
