Latitude,Longitude,Elevation
-39.1444800,175.5810100,1123.0
-39.1444800,175.5811200,1124.0
-39.1444800,175.5812400,1124.0
-39.1444900,175.5812600,1124.0
-39.1445000,175.5812900,1124.0
-39.1445600,175.5813600,1124.0
-39.1446100,175.5814200,1125.0
-39.1446600,175.5814700,1125.0
-39.1447000,175.5815000,1126.0
-39.1448400,175.5815600,1127.0
-39.1449900,175.5816400,1128.0
-39.1450800,175.5816800,1129.0
-39.1451600,175.5817000,1129.0
-39.1452300,175.5817000,1130.0
-39.1452800,175.5816900,1130.0
-39.1453100,175.5816800,1131.0
-39.1455800,175.5818200,1131.0
-39.1456800,175.5818800,1132.0
-39.1457900,175.5819500,1132.0
-39.1458900,175.5820100,1133.0
-39.1459200,175.5820400,1134.0
-39.1459500,175.5820700,1134.0
-39.1459800,175.5821200,1135.0
-39.1460000,175.5821600,1135.0
-39.1460200,175.5822200,1135.0
-39.1460200,175.5822800,1135.0
-39.1460300,175.5823400,1135.0
-39.1460300,175.5823900,1135.0
-39.1460400,175.5824400,1136.0
-39.1460600,175.5825100,1136.0
-39.1461600,175.5828200,1135.0
-39.1461700,175.5828700,1135.0
-39.1462000,175.5829500,1135.0
-39.1462100,175.5830000,1134.0
-39.1462200,175.5830600,1134.0
-39.1462300,175.5831200,1134.0
-39.1462400,175.5831600,1134.0
-39.1462500,175.5831900,1135.0
-39.1462800,175.5832500,1135.0
-39.1463200,175.5833200,1136.0
-39.1463400,175.5833700,1136.0
-39.1463500,175.5834100,1136.0
-39.1463600,175.5834600,1136.0
-39.1463700,175.5835300,1136.0
-39.1463600,175.5836300,1137.0
-39.1463700,175.5836800,1137.0
-39.1463900,175.5837400,1137.0
-39.1464200,175.5838300,1138.0
-39.1464500,175.5839100,1139.0
-39.1464800,175.5839500,1139.0
-39.1465200,175.5840100,1139.0
-39.1465500,175.5840500,1140.0
-39.1465800,175.5840700,1140.0
-39.1466100,175.5840900,1140.0
-39.1466300,175.5841100,1140.0
-39.1466400,175.5841400,1140.0
-39.1466600,175.5841900,1141.0
-39.1466600,175.5842400,1141.0
-39.1466700,175.5842900,1141.0
-39.1466600,175.5843400,1142.0
-39.1466500,175.5843800,1142.0
-39.1466300,175.5844300,1142.0
-39.1466000,175.5844800,1143.0
-39.1465600,175.5845200,1143.0
-39.1465300,175.5845400,1144.0
-39.1464900,175.5845500,1144.0
-39.1464500,175.5845600,1144.0
-39.1463700,175.5845600,1144.0
-39.1463400,175.5845600,1144.0
-39.1463200,175.5845700,1144.0
-39.1462900,175.5845800,1144.0
-39.1462400,175.5846100,1145.0
-39.1462000,175.5846300,1145.0
-39.1461700,175.5846600,1145.0
-39.1461500,175.5846900,1145.0
-39.1461200,175.5847200,1145.0
-39.1461000,175.5847700,1146.0
-39.1460700,175.5848200,1146.0
-39.1460500,175.5848800,1147.0
-39.1460300,175.5849400,1147.0
-39.1460100,175.5850100,1148.0
-39.1460000,175.5850700,1148.0
-39.1460000,175.5851300,1148.0
-39.1460000,175.5851900,1148.0
-39.1460100,175.5852600,1148.0
-39.1460200,175.5853400,1149.0
-39.1460500,175.5855100,1150.0
-39.1460900,175.5856700,1150.0
-39.1461600,175.5859200,1151.0
-39.1462700,175.5863100,1153.0
-39.1462800,175.5863900,1153.0
-39.1462900,175.5864500,1154.0
-39.1462900,175.5865100,1154.0
-39.1463000,175.5865800,1154.0
-39.1463500,175.5868200,1156.0
-39.1463700,175.5869800,1158.0
-39.1463900,175.5871000,1160.0
-39.1464000,175.5872000,1161.0
-39.1464900,175.5881600,1161.0
-39.1465100,175.5883000,1161.0
-39.1465200,175.5884000,1161.0
-39.1465400,175.5884800,1162.0
-39.1465500,175.5885900,1162.0
-39.1465600,175.5886400,1162.0
-39.1465700,175.5886900,1163.0
-39.1465600,175.5887600,1163.0
-39.1465600,175.5888200,1163.0
-39.1465700,175.5888900,1163.0
-39.1466100,175.5892600,1165.0
-39.1466200,175.5893300,1165.0
-39.1466300,175.5893900,1165.0
-39.1466400,175.5894500,1166.0
-39.1466400,175.5895100,1166.0
-39.1466600,175.5896100,1166.0
-39.1466700,175.5897800,1167.0
-39.1466800,175.5898500,1167.0
-39.1466900,175.5899200,1168.0
-39.1467200,175.5900800,1169.0
-39.1467700,175.5902900,1169.0
-39.1467900,175.5903800,1169.0
-39.1468100,175.5904700,1169.0
-39.1468200,175.5905500,1169.0
-39.1468400,175.5906200,1170.0
-39.1468500,175.5906700,1170.0
-39.1468600,175.5907300,1171.0
-39.1468700,175.5907900,1171.0
-39.1468800,175.5908400,1171.0
-39.1468900,175.5908900,1171.0
-39.1469100,175.5909400,1171.0
-39.1469400,175.5909900,1171.0
-39.1469600,175.5910300,1172.0
-39.1470100,175.5911000,1172.0
-39.1470500,175.5911600,1172.0
-39.1470800,175.5912000,1172.0
-39.1471200,175.5912500,1172.0
-39.1471500,175.5912900,1172.0
-39.1471800,175.5913500,1172.0
-39.1472000,175.5913900,1172.0
-39.1472100,175.5914500,1172.0
-39.1472200,175.5915100,1172.0
-39.1472400,175.5915700,1173.0
-39.1472600,175.5916500,1173.0
-39.1472700,175.5917000,1173.0
-39.1473000,175.5917600,1173.0
-39.1473200,175.5918200,1173.0
-39.1473300,175.5918500,1174.0
-39.1473400,175.5918800,1174.0
-39.1473600,175.5919400,1174.0
-39.1473700,175.5919900,1174.0
-39.1473800,175.5920300,1174.0
-39.1473900,175.5920900,1174.0
-39.1473800,175.5921400,1175.0
-39.1473700,175.5921900,1175.0
-39.1473500,175.5922900,1175.0
-39.1473300,175.5922800,1175.0
-39.1473500,175.5922900,1175.0
-39.1473300,175.5923800,1176.0
-39.1472900,175.5925200,1177.0
-39.1472300,175.5926900,1179.0
-39.1471900,175.5928500,1180.0
-39.1471500,175.5929400,1181.0
-39.1471400,175.5929600,1181.0
-39.1471400,175.5929900,1181.0
-39.1471300,175.5930200,1182.0
-39.1471300,175.5930400,1182.0
-39.1471200,175.5930800,1182.0
-39.1471100,175.5931200,1182.0
-39.1470800,175.5931900,1183.0
-39.1470500,175.5932700,1183.0
-39.1470100,175.5933900,1184.0
-39.1469400,175.5936500,1185.0
-39.1469200,175.5937000,1185.0
-39.1469200,175.5937400,1185.0
-39.1469100,175.5937800,1185.0
-39.1469000,175.5938200,1185.0
-39.1468900,175.5938600,1185.0
-39.1468700,175.5939100,1185.0
-39.1468400,175.5939900,1185.0
-39.1468100,175.5940600,1185.0
-39.1468000,175.5941100,1185.0
-39.1467900,175.5941500,1185.0
-39.1467900,175.5941900,1186.0
-39.1467800,175.5942300,1186.0
-39.1467800,175.5942700,1186.0
-39.1467800,175.5943100,1186.0
-39.1467800,175.5943500,1186.0
-39.1467800,175.5943900,1186.0
-39.1467700,175.5944300,1186.0
-39.1467600,175.5944800,1186.0
-39.1467400,175.5945300,1186.0
-39.1467300,175.5945700,1186.0
-39.1467200,175.5946100,1186.0
-39.1467200,175.5946500,1186.0
-39.1467100,175.5947000,1186.0
-39.1466900,175.5947600,1186.0
-39.1466900,175.5948200,1186.0
-39.1466800,175.5948700,1186.0
-39.1466800,175.5949200,1186.0
-39.1466800,175.5949700,1186.0
-39.1466800,175.5950100,1186.0
-39.1466900,175.5950500,1186.0
-39.1467000,175.5950900,1186.0
-39.1467000,175.5951400,1186.0
-39.1467100,175.5951900,1187.0
-39.1467200,175.5952300,1187.0
-39.1467200,175.5952600,1187.0
-39.1467100,175.5952900,1187.0
-39.1467100,175.5953100,1188.0
-39.1467000,175.5953400,1188.0
-39.1466900,175.5953700,1188.0
-39.1466700,175.5953900,1189.0
-39.1466500,175.5954200,1189.0
-39.1465900,175.5954900,1191.0
-39.1464700,175.5956400,1193.0
-39.1464500,175.5956700,1193.0
-39.1464300,175.5956900,1193.0
-39.1463600,175.5958000,1194.0
-39.1463400,175.5958300,1194.0
-39.1463300,175.5958600,1194.0
-39.1463200,175.5958900,1194.0
-39.1463100,175.5959500,1193.0
-39.1463100,175.5959800,1193.0
-39.1462900,175.5960100,1193.0
-39.1462800,175.5960300,1193.0
-39.1462700,175.5960600,1193.0
-39.1462500,175.5960800,1193.0
-39.1462200,175.5961100,1193.0
-39.1461900,175.5961500,1193.0
-39.1461800,175.5961700,1193.0
-39.1461700,175.5962000,1193.0
-39.1461500,175.5962300,1193.0
-39.1461400,175.5962700,1193.0
-39.1461300,175.5963000,1193.0
-39.1461200,175.5963500,1193.0
-39.1461200,175.5963900,1193.0
-39.1461100,175.5964400,1193.0
-39.1461100,175.5964800,1194.0
-39.1461000,175.5965000,1194.0
-39.1461000,175.5965300,1194.0
-39.1460900,175.5965500,1194.0
-39.1460800,175.5965800,1195.0
-39.1460600,175.5966000,1195.0
-39.1460300,175.5966500,1196.0
-39.1459900,175.5967300,1197.0
-39.1459600,175.5967700,1197.0
-39.1459300,175.5968000,1198.0
-39.1459000,175.5968300,1198.0
-39.1458800,175.5968600,1199.0
-39.1458700,175.5968900,1199.0
-39.1458600,175.5969100,1199.0
-39.1458500,175.5969600,1199.0
-39.1458400,175.5970200,1199.0
-39.1458300,175.5970900,1200.0
-39.1458100,175.5971600,1200.0
-39.1458000,175.5972600,1200.0
-39.1457800,175.5973400,1200.0
-39.1457600,175.5974400,1200.0
-39.1457300,175.5975300,1200.0
-39.1457200,175.5975900,1200.0
-39.1457100,175.5976400,1200.0
-39.1457000,175.5976800,1200.0
-39.1457000,175.5977200,1200.0
-39.1457000,175.5977600,1201.0
