Latitude,Longitude,Elevation
-39.2011000,175.5398200,1136.0
-39.2010700,175.5397900,1136.0
-39.2010200,175.5397400,1135.0
-39.2009800,175.5397200,1135.0
-39.2009300,175.5396900,1134.0
-39.2008800,175.5396700,1134.0
-39.2008500,175.5396500,1133.0
-39.2008100,175.5396100,1133.0
-39.2007700,175.5395700,1132.0
-39.2007300,175.5395400,1132.0
-39.2006900,175.5395100,1132.0
-39.2006400,175.5395000,1131.0
-39.2006000,175.5395100,1131.0
-39.2005700,175.5395600,1131.0
-39.2005500,175.5396200,1131.0
-39.2005400,175.5396800,1131.0
-39.2005200,175.5397400,1131.0
-39.2005100,175.5398100,1131.0
-39.2005000,175.5398600,1132.0
-39.2004800,175.5399000,1132.0
-39.2004800,175.5399800,1132.0
-39.2004700,175.5400500,1132.0
-39.2004600,175.5401000,1133.0
-39.2004400,175.5401700,1133.0
-39.2004300,175.5402400,1133.0
-39.2004100,175.5403000,1134.0
-39.2004000,175.5403700,1134.0
-39.2003800,175.5404300,1134.0
-39.2003600,175.5404900,1134.0
-39.2003400,175.5405500,1134.0
-39.2003200,175.5406100,1134.0
-39.2003000,175.5406700,1134.0
-39.2002800,175.5407400,1134.0
-39.2002700,175.5408100,1133.0
-39.2002600,175.5408700,1133.0
-39.2002400,175.5409300,1133.0
-39.2002200,175.5410100,1133.0
-39.2002000,175.5410800,1133.0
-39.2001800,175.5411400,1132.0
-39.2001600,175.5412000,1132.0
-39.2001500,175.5412600,1132.0
-39.2001400,175.5412600,1132.0
-39.2001000,175.5413100,1132.0
-39.2000700,175.5413600,1132.0
-39.2000400,175.5414100,1132.0
-39.2000100,175.5414600,1132.0
-39.1999800,175.5415100,1132.0
-39.1999600,175.5415800,1132.0
-39.1999300,175.5416400,1132.0
-39.1999100,175.5416900,1132.0
-39.1998600,175.5417300,1132.0
-39.1998000,175.5417500,1132.0
-39.1997500,175.5417600,1132.0
-39.1997000,175.5417700,1132.0
-39.1996600,175.5417700,1132.0
-39.1996100,175.5417700,1132.0
-39.1995600,175.5417800,1132.0
-39.1995300,175.5417800,1131.0
-39.1994300,175.5418100,1131.0
-39.1993200,175.5418200,1131.0
-39.1992500,175.5419200,1130.0
-39.1991100,175.5420600,1129.0
-39.1989900,175.5422000,1127.0
-39.1988600,175.5423100,1125.0
-39.1987800,175.5424200,1125.0
-39.1987100,175.5424700,1125.0
-39.1987000,175.5424900,1125.0
-39.1987400,175.5425600,1125.0
-39.1987200,175.5425800,1125.0
-39.1986700,175.5425600,1125.0
-39.1986400,175.5426000,1125.0
-39.1985800,175.5425900,1125.0
-39.1985500,175.5426300,1125.0
-39.1985200,175.5427300,1125.0
-39.1984900,175.5428500,1126.0
-39.1983500,175.5430200,1126.0
-39.1982500,175.5431300,1127.0
-39.1980200,175.5435900,1129.0
-39.1979400,175.5437800,1128.0
-39.1979000,175.5438600,1127.0
-39.1978900,175.5439600,1127.0
-39.1979000,175.5440400,1127.0
-39.1979000,175.5441100,1127.0
-39.1978600,175.5442100,1126.0
-39.1978300,175.5443000,1125.0
-39.1977800,175.5450300,1122.0
-39.1977200,175.5456300,1120.0
-39.1976900,175.5459300,1120.0
-39.1976900,175.5459600,1120.0
-39.1976800,175.5460700,1119.0
-39.1976700,175.5461800,1118.0
-39.1976900,175.5463600,1117.0
-39.1977100,175.5464500,1117.0
-39.1976900,175.5464800,1117.0
-39.1976100,175.5464700,1115.0
-39.1974400,175.5464300,1113.0
-39.1973200,175.5464200,1112.0
-39.1972700,175.5464400,1111.0
-39.1972400,175.5464900,1111.0
-39.1972000,175.5465200,1111.0
-39.1971700,175.5465000,1111.0
-39.1971300,175.5464600,1111.0
-39.1970800,175.5465000,1111.0
-39.1970200,175.5465700,1111.0
-39.1969700,175.5466200,1111.0
-39.1969000,175.5466800,1111.0
-39.1967600,175.5467900,1111.0
-39.1965500,175.5470000,1112.0
-39.1964500,175.5471400,1112.0
-39.1964400,175.5471700,1112.0
-39.1963000,175.5473800,1113.0
-39.1962300,175.5475200,1112.0
-39.1961800,175.5476000,1112.0
-39.1961000,175.5477400,1112.0
-39.1960700,175.5477800,1112.0
-39.1960400,175.5478400,1112.0
-39.1960200,175.5478300,1112.0
-39.1960000,175.5478200,1112.0
-39.1959700,175.5477800,1111.0
-39.1959100,175.5477400,1110.0
-39.1958600,175.5476700,1110.0
-39.1958300,175.5476500,1109.0
-39.1957900,175.5476600,1109.0
-39.1957600,175.5476800,1109.0
-39.1957300,175.5476800,1108.0
-39.1957000,175.5476800,1108.0
-39.1956900,175.5477100,1108.0
-39.1957100,175.5477500,1108.0
-39.1957100,175.5477700,1108.0
-39.1956900,175.5478200,1108.0
-39.1957000,175.5478400,1109.0
-39.1957200,175.5478600,1109.0
-39.1957100,175.5478700,1109.0
-39.1956900,175.5478600,1109.0
-39.1956700,175.5478400,1108.0
-39.1956400,175.5478100,1108.0
-39.1955600,175.5477700,1107.0
-39.1955100,175.5477900,1106.0
-39.1955200,175.5478200,1107.0
-39.1955000,175.5478300,1107.0
-39.1954700,175.5478200,1106.0
-39.1954400,175.5477900,1105.0
-39.1953900,175.5477600,1105.0
-39.1953600,175.5477600,1104.0
-39.1953200,175.5477800,1104.0
-39.1952500,175.5477700,1103.0
-39.1951900,175.5477500,1103.0
-39.1951300,175.5477500,1103.0
-39.1950600,175.5477500,1103.0
-39.1949700,175.5477500,1103.0
-39.1948800,175.5477500,1103.0
-39.1948000,175.5477600,1103.0
-39.1947600,175.5477500,1103.0
-39.1947400,175.5477300,1103.0
-39.1947100,175.5477000,1103.0
-39.1946900,175.5477200,1103.0
-39.1946800,175.5477500,1103.0
-39.1946800,175.5477900,1103.0
-39.1946700,175.5478000,1103.0
-39.1946600,175.5477900,1103.0
-39.1946500,175.5477500,1103.0
-39.1946400,175.5477300,1103.0
-39.1945800,175.5476700,1102.0
-39.1945300,175.5476500,1102.0
-39.1945200,175.5476300,1102.0
-39.1944900,175.5476100,1102.0
-39.1944600,175.5476200,1102.0
-39.1944300,175.5476400,1101.0
-39.1944200,175.5476500,1101.0
-39.1944100,175.5476500,1101.0
-39.1943800,175.5476500,1101.0
-39.1943700,175.5476600,1101.0
-39.1943400,175.5476700,1101.0
-39.1943200,175.5477000,1101.0
-39.1943000,175.5477200,1101.0
-39.1942800,175.5477500,1101.0
-39.1942600,175.5477500,1101.0
-39.1942300,175.5477400,1101.0
-39.1942100,175.5477500,1101.0
-39.1941900,175.5477600,1101.0
-39.1941900,175.5478000,1102.0
-39.1941800,175.5478900,1102.0
-39.1941700,175.5479200,1102.0
-39.1941500,175.5479200,1102.0
-39.1941300,175.5478900,1102.0
-39.1941200,175.5478900,1102.0
-39.1941100,175.5479300,1102.0
-39.1940900,175.5479300,1102.0
-39.1940500,175.5478900,1102.0
-39.1939700,175.5478300,1102.0
-39.1939400,175.5478300,1103.0
-39.1939000,175.5478800,1103.0
-39.1938600,175.5479100,1103.0
-39.1937700,175.5480100,1104.0
-39.1936400,175.5481800,1106.0
-39.1935600,175.5483000,1107.0
-39.1934200,175.5484400,1108.0
-39.1933300,175.5485300,1108.0
-39.1932700,175.5486600,1109.0
-39.1931300,175.5488100,1110.0
-39.1929500,175.5490100,1111.0
-39.1927900,175.5492200,1112.0
-39.1927400,175.5493100,1112.0
-39.1927000,175.5493300,1111.0
-39.1926700,175.5493800,1111.0
