Latitude,Longitude,Elevation
-39.3238500,174.1035800,903.0
-39.3237100,174.1036400,905.0
-39.3236600,174.1036600,905.0
-39.3236200,174.1037000,906.0
-39.3236000,174.1037500,906.0
-39.3235700,174.1038100,905.0
-39.3235500,174.1038700,905.0
-39.3235400,174.1039300,905.0
-39.3235100,174.1040000,904.0
-39.3234800,174.1040700,904.0
-39.3234500,174.1041200,903.0
-39.3234100,174.1041800,903.0
-39.3233800,174.1042300,903.0
-39.3233200,174.1042700,903.0
-39.3232700,174.1042900,902.0
-39.3232200,174.1043000,902.0
-39.3231500,174.1043200,901.0
-39.3231000,174.1043300,901.0
-39.3230400,174.1043200,900.0
-39.3230000,174.1043500,899.0
-39.3229600,174.1043900,899.0
-39.3229500,174.1044500,898.0
-39.3229500,174.1044700,898.0
-39.3229700,174.1045400,897.0
-39.3230100,174.1045800,897.0
-39.3230400,174.1046200,897.0
-39.3230700,174.1046800,896.0
-39.3230800,174.1047600,895.0
-39.3230900,174.1048300,895.0
-39.3231000,174.1049000,894.0
-39.3231000,174.1049700,893.0
-39.3230900,174.1050300,893.0
-39.3230700,174.1050800,893.0
-39.3230400,174.1051300,893.0
-39.3230100,174.1051800,893.0
-39.3229900,174.1051900,894.0
-39.3230200,174.1052100,893.0
-39.3229600,174.1051700,894.0
-39.3229300,174.1051800,894.0
-39.3229400,174.1052300,894.0
-39.3229200,174.1052700,894.0
-39.3228900,174.1053000,894.0
-39.3228400,174.1053400,895.0
-39.3227800,174.1053100,895.0
-39.3227400,174.1053700,896.0
-39.3227400,174.1054400,896.0
-39.3226800,174.1054100,897.0
-39.3225900,174.1052900,900.0
-39.3225500,174.1051600,900.0
-39.3224600,174.1050900,902.0
-39.3224300,174.1050700,902.0
-39.3224000,174.1049700,902.0
-39.3223300,174.1049100,904.0
-39.3221400,174.1048400,909.0
-39.3220600,174.1047000,911.0
-39.3219700,174.1046100,913.0
-39.3218300,174.1045700,916.0
-39.3216400,174.1044900,920.0
-39.3215800,174.1044900,921.0
-39.3215400,174.1044800,922.0
-39.3214900,174.1044600,923.0
-39.3214400,174.1044300,924.0
